region,variant,freq,year,meanageforchildbearing
948,estimates,5yearly,1950,29.536
948,estimates,5yearly,1955,29.539
948,estimates,5yearly,1960,29.502
948,estimates,5yearly,1965,29.398
948,estimates,5yearly,1970,29.231
948,estimates,5yearly,1975,28.966
948,estimates,5yearly,1980,28.734
948,estimates,5yearly,1985,28.525
948,estimates,5yearly,1990,28.271
948,estimates,5yearly,1995,28.125
948,estimates,5yearly,2000,28.001
948,estimates,5yearly,2005,27.931
948,estimates,5yearly,2010,27.909
948,medium_variant,5yearly,2015,27.876
948,medium_variant,5yearly,2020,27.914
948,medium_variant,5yearly,2025,27.959
948,medium_variant,5yearly,2030,28.047
948,medium_variant,5yearly,2035,28.161
948,medium_variant,5yearly,2040,28.287
948,medium_variant,5yearly,2045,28.417
948,medium_variant,5yearly,2050,28.541
948,medium_variant,5yearly,2055,28.664
948,medium_variant,5yearly,2060,28.79
948,medium_variant,5yearly,2065,28.919
948,medium_variant,5yearly,2070,29.045
948,medium_variant,5yearly,2075,29.166
948,medium_variant,5yearly,2080,29.284
948,medium_variant,5yearly,2085,29.402
948,medium_variant,5yearly,2090,29.519
948,medium_variant,5yearly,2095,29.635
948,estimates,5yearly,Regi,"Less developed regions, excluding China"
948,medium_variant,5yearly,Regi,"Less developed regions, excluding China"
