country,year,variant,freq,agebroad,totaldeaths
178,1950,estimates,5yearly,"Region, subregion, country or area *",Congo
178,1950,estimates,5yearly,0_4,43.504
178,1950,estimates,5yearly,5_9,4.786
178,1950,estimates,5yearly,10_14,2.764
178,1950,estimates,5yearly,15_19,2.448
178,1950,estimates,5yearly,20_24,2.779
178,1950,estimates,5yearly,25_29,2.785
178,1950,estimates,5yearly,30_34,2.681
178,1950,estimates,5yearly,35_39,2.647
178,1950,estimates,5yearly,40_44,2.616
178,1950,estimates,5yearly,45_49,2.61
178,1950,estimates,5yearly,50_54,2.746
178,1950,estimates,5yearly,55_59,2.929
178,1950,estimates,5yearly,60_64,3.16
178,1950,estimates,5yearly,65_69,3.445
178,1950,estimates,5yearly,70_74,3.411
178,1950,estimates,5yearly,75_79,2.824
178,1950,estimates,5yearly,80_84,1.7
178,1950,estimates,5yearly,85_89,0.708
178,1950,estimates,5yearly,90_94,0.211
178,1950,estimates,5yearly,95plus,0.037
178,1950,estimates,5yearly,0_14,51.054
178,1950,estimates,5yearly,0_19,53.502
178,1950,estimates,5yearly,0_24,56.281
178,1950,estimates,5yearly,5_14,7.55
178,1950,estimates,5yearly,15plus,39.737
178,1950,estimates,5yearly,15_24,5.227
178,1950,estimates,5yearly,15_49,18.566
178,1950,estimates,5yearly,15_59,24.241
178,1950,estimates,5yearly,15_64,27.401
178,1950,estimates,5yearly,20plus,37.289
178,1950,estimates,5yearly,20_64,24.953
178,1950,estimates,5yearly,20_69,28.398
178,1950,estimates,5yearly,25plus,34.51
178,1950,estimates,5yearly,25_69,25.619
178,1950,estimates,5yearly,40plus,26.397
178,1950,estimates,5yearly,50plus,21.171
178,1950,estimates,5yearly,60plus,15.496
178,1950,estimates,5yearly,65plus,12.336
178,1950,estimates,5yearly,70plus,8.891
178,1950,estimates,5yearly,80plus,2.656
178,1950,estimates,5yearly,90plus,0.248
178,1955,estimates,5yearly,"Region, subregion, country or area *",Congo
178,1955,estimates,5yearly,0_4,41.995
178,1955,estimates,5yearly,5_9,4.556
178,1955,estimates,5yearly,10_14,2.619
178,1955,estimates,5yearly,15_19,2.356
178,1955,estimates,5yearly,20_24,2.68
178,1955,estimates,5yearly,25_29,2.677
178,1955,estimates,5yearly,30_34,2.57
178,1955,estimates,5yearly,35_39,2.543
178,1955,estimates,5yearly,40_44,2.525
178,1955,estimates,5yearly,45_49,2.536
178,1955,estimates,5yearly,50_54,2.683
178,1955,estimates,5yearly,55_59,2.979
178,1955,estimates,5yearly,60_64,3.279
178,1955,estimates,5yearly,65_69,3.526
178,1955,estimates,5yearly,70_74,3.566
178,1955,estimates,5yearly,75_79,3.023
178,1955,estimates,5yearly,80_84,1.973
178,1955,estimates,5yearly,85_89,0.843
178,1955,estimates,5yearly,90_94,0.215
178,1955,estimates,5yearly,95plus,0.037
178,1955,estimates,5yearly,0_14,49.17
178,1955,estimates,5yearly,0_19,51.526
178,1955,estimates,5yearly,0_24,54.206
178,1955,estimates,5yearly,5_14,7.175
178,1955,estimates,5yearly,15plus,40.011
178,1955,estimates,5yearly,15_24,5.036
178,1955,estimates,5yearly,15_49,17.887
178,1955,estimates,5yearly,15_59,23.549
178,1955,estimates,5yearly,15_64,26.828
178,1955,estimates,5yearly,20plus,37.655
178,1955,estimates,5yearly,20_64,24.472
178,1955,estimates,5yearly,20_69,27.998
178,1955,estimates,5yearly,25plus,34.975
178,1955,estimates,5yearly,25_69,25.318
178,1955,estimates,5yearly,40plus,27.185
178,1955,estimates,5yearly,50plus,22.124
178,1955,estimates,5yearly,60plus,16.462
178,1955,estimates,5yearly,65plus,13.183
178,1955,estimates,5yearly,70plus,9.657
178,1955,estimates,5yearly,80plus,3.068
178,1955,estimates,5yearly,90plus,0.252
178,1960,estimates,5yearly,"Region, subregion, country or area *",Congo
178,1960,estimates,5yearly,0_4,41.197
178,1960,estimates,5yearly,5_9,4.354
178,1960,estimates,5yearly,10_14,2.551
178,1960,estimates,5yearly,15_19,2.316
178,1960,estimates,5yearly,20_24,2.636
178,1960,estimates,5yearly,25_29,2.616
178,1960,estimates,5yearly,30_34,2.5
178,1960,estimates,5yearly,35_39,2.482
178,1960,estimates,5yearly,40_44,2.487
178,1960,estimates,5yearly,45_49,2.533
178,1960,estimates,5yearly,50_54,2.708
178,1960,estimates,5yearly,55_59,3.021
178,1960,estimates,5yearly,60_64,3.486
178,1960,estimates,5yearly,65_69,3.845
178,1960,estimates,5yearly,70_74,3.858
178,1960,estimates,5yearly,75_79,3.382
178,1960,estimates,5yearly,80_84,2.293
178,1960,estimates,5yearly,85_89,1.067
178,1960,estimates,5yearly,90_94,0.29
178,1960,estimates,5yearly,95plus,0.042
178,1960,estimates,5yearly,0_14,48.102
178,1960,estimates,5yearly,0_19,50.418
178,1960,estimates,5yearly,0_24,53.054
178,1960,estimates,5yearly,5_14,6.905
178,1960,estimates,5yearly,15plus,41.562
178,1960,estimates,5yearly,15_24,4.952
178,1960,estimates,5yearly,15_49,17.57
178,1960,estimates,5yearly,15_59,23.299
178,1960,estimates,5yearly,15_64,26.785
178,1960,estimates,5yearly,20plus,39.246
178,1960,estimates,5yearly,20_64,24.469
178,1960,estimates,5yearly,20_69,28.314
178,1960,estimates,5yearly,25plus,36.61
178,1960,estimates,5yearly,25_69,25.678
178,1960,estimates,5yearly,40plus,29.012
178,1960,estimates,5yearly,50plus,23.992
178,1960,estimates,5yearly,60plus,18.263
178,1960,estimates,5yearly,65plus,14.777
178,1960,estimates,5yearly,70plus,10.932
178,1960,estimates,5yearly,80plus,3.692
178,1960,estimates,5yearly,90plus,0.332
178,1965,estimates,5yearly,"Region, subregion, country or area *",Congo
178,1965,estimates,5yearly,0_4,42.534
178,1965,estimates,5yearly,5_9,4.443
178,1965,estimates,5yearly,10_14,2.638
178,1965,estimates,5yearly,15_19,2.405
178,1965,estimates,5yearly,20_24,2.689
178,1965,estimates,5yearly,25_29,2.647
178,1965,estimates,5yearly,30_34,2.515
178,1965,estimates,5yearly,35_39,2.499
178,1965,estimates,5yearly,40_44,2.528
178,1965,estimates,5yearly,45_49,2.611
178,1965,estimates,5yearly,50_54,2.825
178,1965,estimates,5yearly,55_59,3.167
178,1965,estimates,5yearly,60_64,3.68
178,1965,estimates,5yearly,65_69,4.258
178,1965,estimates,5yearly,70_74,4.394
178,1965,estimates,5yearly,75_79,3.842
178,1965,estimates,5yearly,80_84,2.707
178,1965,estimates,5yearly,85_89,1.315
178,1965,estimates,5yearly,90_94,0.39
178,1965,estimates,5yearly,95plus,0.06
178,1965,estimates,5yearly,0_14,49.615
178,1965,estimates,5yearly,0_19,52.02
178,1965,estimates,5yearly,0_24,54.709
178,1965,estimates,5yearly,5_14,7.081
178,1965,estimates,5yearly,15plus,44.532
178,1965,estimates,5yearly,15_24,5.094
178,1965,estimates,5yearly,15_49,17.894
178,1965,estimates,5yearly,15_59,23.886
178,1965,estimates,5yearly,15_64,27.566
178,1965,estimates,5yearly,20plus,42.127
178,1965,estimates,5yearly,20_64,25.161
178,1965,estimates,5yearly,20_69,29.419
178,1965,estimates,5yearly,25plus,39.438
178,1965,estimates,5yearly,25_69,26.73
178,1965,estimates,5yearly,40plus,31.777
178,1965,estimates,5yearly,50plus,26.638
178,1965,estimates,5yearly,60plus,20.646
178,1965,estimates,5yearly,65plus,16.966
178,1965,estimates,5yearly,70plus,12.708
178,1965,estimates,5yearly,80plus,4.472
