region,variant,freq,year,lifeexpectancyat80
1502,estimates,5yearly,1950,4.66066771232146
1502,estimates,5yearly,1955,4.48356414172411
1502,estimates,5yearly,1960,5.07968355453879
1502,estimates,5yearly,1965,5.6405932470549
1502,estimates,5yearly,1970,5.71692981280918
1502,estimates,5yearly,1975,5.80263147395963
1502,estimates,5yearly,1980,5.93523488301503
1502,estimates,5yearly,1985,6.10386565184286
1502,estimates,5yearly,1990,6.29403504493047
1502,estimates,5yearly,1995,6.42789393864679
1502,estimates,5yearly,2000,6.71782867051991
1502,estimates,5yearly,2005,7.05080387198327
1502,estimates,5yearly,2010,7.36942914560843
1502,medium_variant,5yearly,2015,7.63869570408009
1502,medium_variant,5yearly,2020,7.89847648909852
1502,medium_variant,5yearly,2025,8.16207568432186
1502,medium_variant,5yearly,2030,8.43557606899782
1502,medium_variant,5yearly,2035,8.70333845914111
1502,medium_variant,5yearly,2040,8.98573471077009
1502,medium_variant,5yearly,2045,9.29172982106369
1502,medium_variant,5yearly,2050,9.59702293791226
1502,medium_variant,5yearly,2055,9.9138485220649
1502,medium_variant,5yearly,2060,10.2338210293581
1502,medium_variant,5yearly,2065,10.53947792776
1502,medium_variant,5yearly,2070,10.8155370968786
1502,medium_variant,5yearly,2075,11.0887112676233
1502,medium_variant,5yearly,2080,11.3799160586743
1502,medium_variant,5yearly,2085,11.6600333777675
1502,medium_variant,5yearly,2090,11.9008772751137
1502,medium_variant,5yearly,2095,12.1465294220888
1502,estimates,5yearly,Regi,Upper-middle-income countries
1502,medium_variant,5yearly,Regi,Upper-middle-income countries
