country,variant,freq,year,infantmortalityper1000livebirth
72,estimates,5yearly,1950,135.044
72,estimates,5yearly,1955,123.641
72,estimates,5yearly,1960,113.276
72,estimates,5yearly,1965,103.979
72,estimates,5yearly,1970,90.273
72,estimates,5yearly,1975,74.658
72,estimates,5yearly,1980,63.551
72,estimates,5yearly,1985,58.929
72,estimates,5yearly,1990,61.562
72,estimates,5yearly,1995,73.213
72,estimates,5yearly,2000,65.428
72,estimates,5yearly,2005,46.456
72,estimates,5yearly,2010,35.172
72,medium_variant,5yearly,2015,27.969
72,medium_variant,5yearly,2020,24.141
72,medium_variant,5yearly,2025,21.415
72,medium_variant,5yearly,2030,19.451
72,medium_variant,5yearly,2035,17.854
72,medium_variant,5yearly,2040,16.343
72,medium_variant,5yearly,2045,14.901
72,medium_variant,5yearly,2050,13.334
72,medium_variant,5yearly,2055,11.884
72,medium_variant,5yearly,2060,10.965
72,medium_variant,5yearly,2065,10.285
72,medium_variant,5yearly,2070,9.648
72,medium_variant,5yearly,2075,9.052
72,medium_variant,5yearly,2080,8.481
72,medium_variant,5yearly,2085,7.93
72,medium_variant,5yearly,2090,7.409
72,medium_variant,5yearly,2095,6.898
