country,variant,freq,year,infantmortalityper1000livebirth
850,estimates,5yearly,1950,58.088
850,estimates,5yearly,1955,46.858
850,estimates,5yearly,1960,41.234
850,estimates,5yearly,1965,35.167
850,estimates,5yearly,1970,29.543
850,estimates,5yearly,1975,24.91
850,estimates,5yearly,1980,21.572
850,estimates,5yearly,1985,18.037
850,estimates,5yearly,1990,15.33
850,estimates,5yearly,1995,13.134
850,estimates,5yearly,2000,11.621
850,estimates,5yearly,2005,10.683
850,estimates,5yearly,2010,9.305
850,medium_variant,5yearly,2015,8.382
850,medium_variant,5yearly,2020,7.642
850,medium_variant,5yearly,2025,6.953
850,medium_variant,5yearly,2030,6.335
850,medium_variant,5yearly,2035,5.767
850,medium_variant,5yearly,2040,5.27
850,medium_variant,5yearly,2045,4.844
850,medium_variant,5yearly,2050,4.47
850,medium_variant,5yearly,2055,4.13
850,medium_variant,5yearly,2060,3.831
850,medium_variant,5yearly,2065,3.547
850,medium_variant,5yearly,2070,3.277
850,medium_variant,5yearly,2075,3.027
850,medium_variant,5yearly,2080,2.793
850,medium_variant,5yearly,2085,2.573
850,medium_variant,5yearly,2090,2.364
850,medium_variant,5yearly,2095,2.174
