country,variant,freq,year,infantmortalityper1000livebirth
152,estimates,5yearly,1950,122.52
152,estimates,5yearly,1955,118.094
152,estimates,5yearly,1960,107.475
152,estimates,5yearly,1965,88.165
152,estimates,5yearly,1970,66.659
152,estimates,5yearly,1975,44.083
152,estimates,5yearly,1980,24.597
152,estimates,5yearly,1985,17.97
152,estimates,5yearly,1990,13.478
152,estimates,5yearly,1995,10.51
152,estimates,5yearly,2000,8.367
152,estimates,5yearly,2005,7.825
152,estimates,5yearly,2010,7.357
152,medium_variant,5yearly,2015,6.258
152,medium_variant,5yearly,2020,5.389
152,medium_variant,5yearly,2025,4.645
152,medium_variant,5yearly,2030,4.063
152,medium_variant,5yearly,2035,3.596
152,medium_variant,5yearly,2040,3.225
152,medium_variant,5yearly,2045,2.935
152,medium_variant,5yearly,2050,2.695
152,medium_variant,5yearly,2055,2.48
152,medium_variant,5yearly,2060,2.301
152,medium_variant,5yearly,2065,2.141
152,medium_variant,5yearly,2070,1.992
152,medium_variant,5yearly,2075,1.862
152,medium_variant,5yearly,2080,1.742
152,medium_variant,5yearly,2085,1.627
152,medium_variant,5yearly,2090,1.523
152,medium_variant,5yearly,2095,1.423
152,estimates,5yearly,Regi,Chile
152,medium_variant,5yearly,Regi,Chile
