continent,variant,freq,year,netnumberofmigrants
903,estimates,5yearly,1950,-568.641
903,estimates,5yearly,1955,-573.053
903,estimates,5yearly,1960,-942.757
903,estimates,5yearly,1965,-1113.445
903,estimates,5yearly,1970,-2289.961
903,estimates,5yearly,1975,-1807.7
903,estimates,5yearly,1980,-1720.692
903,estimates,5yearly,1985,-1737.216
903,estimates,5yearly,1990,-341.188
903,estimates,5yearly,1995,-2447.785
903,estimates,5yearly,2000,-2094.346
903,estimates,5yearly,2005,-3351.75
903,estimates,5yearly,2010,-3277.904
903,medium_variant,5yearly,2015,-2310.559
903,medium_variant,5yearly,2020,-2229.446
903,medium_variant,5yearly,2025,-2355.51
903,medium_variant,5yearly,2030,-2394.344
903,medium_variant,5yearly,2035,-2393.463
903,medium_variant,5yearly,2040,-2397.817
903,medium_variant,5yearly,2045,-2402.318
903,medium_variant,5yearly,2050,-2282.202
903,medium_variant,5yearly,2055,-2162.103
903,medium_variant,5yearly,2060,-2042.001
903,medium_variant,5yearly,2065,-1921.855
903,medium_variant,5yearly,2070,-1801.746
903,medium_variant,5yearly,2075,-1681.615
903,medium_variant,5yearly,2080,-1561.532
903,medium_variant,5yearly,2085,-1441.376
903,medium_variant,5yearly,2090,-1321.289
903,medium_variant,5yearly,2095,-1201.18
