continent,variant,freq,year,netnumberofmigrants
909,estimates,5yearly,1950,477.302
909,estimates,5yearly,1955,407.496
909,estimates,5yearly,1960,432.253
909,estimates,5yearly,1965,782.227
909,estimates,5yearly,1970,297.971
909,estimates,5yearly,1975,100.561
909,estimates,5yearly,1980,412.687
909,estimates,5yearly,1985,557.779
909,estimates,5yearly,1990,398.739
909,estimates,5yearly,1995,321.811
909,estimates,5yearly,2000,570.94
909,estimates,5yearly,2005,1065.258
909,estimates,5yearly,2010,909.994
909,medium_variant,5yearly,2015,857.874
909,medium_variant,5yearly,2020,744.51
909,medium_variant,5yearly,2025,752.132
909,medium_variant,5yearly,2030,755.402
909,medium_variant,5yearly,2035,755.574
909,medium_variant,5yearly,2040,755.685
909,medium_variant,5yearly,2045,755.733
909,medium_variant,5yearly,2050,718.051
909,medium_variant,5yearly,2055,680.239
909,medium_variant,5yearly,2060,642.443
909,medium_variant,5yearly,2065,604.625
909,medium_variant,5yearly,2070,566.84
909,medium_variant,5yearly,2075,529.023
909,medium_variant,5yearly,2080,491.236
909,medium_variant,5yearly,2085,453.421
909,medium_variant,5yearly,2090,415.639
909,medium_variant,5yearly,2095,377.813
909,estimates,5yearly,Regi,OCEANIA
909,medium_variant,5yearly,Regi,OCEANIA
