continent,variant,freq,year,netnumberofmigrants
908,estimates,5yearly,1950,-1376.279
908,estimates,5yearly,1955,-2816.427
908,estimates,5yearly,1960,237.402
908,estimates,5yearly,1965,-422.27
908,estimates,5yearly,1970,2104.831
908,estimates,5yearly,1975,1957.727
908,estimates,5yearly,1980,1572.852
908,estimates,5yearly,1985,2668.812
908,estimates,5yearly,1990,5240.575
908,estimates,5yearly,1995,3713.327
908,estimates,5yearly,2000,8550.772
908,estimates,5yearly,2005,8801.821
908,estimates,5yearly,2010,4053.736
908,medium_variant,5yearly,2015,5291.643
908,medium_variant,5yearly,2020,4284.547
908,medium_variant,5yearly,2025,4554.708
908,medium_variant,5yearly,2030,4559.709
908,medium_variant,5yearly,2035,4559.705
908,medium_variant,5yearly,2040,4559.696
908,medium_variant,5yearly,2045,4559.489
908,medium_variant,5yearly,2050,4331.533
908,medium_variant,5yearly,2055,4103.587
908,medium_variant,5yearly,2060,3875.587
908,medium_variant,5yearly,2065,3647.627
908,medium_variant,5yearly,2070,3419.653
908,medium_variant,5yearly,2075,3191.678
908,medium_variant,5yearly,2080,2963.695
908,medium_variant,5yearly,2085,2735.722
908,medium_variant,5yearly,2090,2507.754
908,medium_variant,5yearly,2095,2279.792
