continent,variant,freq,year,netnumberofmigrants
935,estimates,5yearly,1950,96.498
935,estimates,5yearly,1955,1382.543
935,estimates,5yearly,1960,-248.794
935,estimates,5yearly,1965,597.809
935,estimates,5yearly,1970,-1491.451
935,estimates,5yearly,1975,-1336.585
935,estimates,5yearly,1980,-537.06
935,estimates,5yearly,1985,-2019.027
935,estimates,5yearly,1990,-7178.794
935,estimates,5yearly,1995,-6079.494
935,estimates,5yearly,2000,-7650.325
935,estimates,5yearly,2005,-10274.983
935,estimates,5yearly,2010,-5484.529
935,medium_variant,5yearly,2015,-7763.258
935,medium_variant,5yearly,2020,-7193.75
935,medium_variant,5yearly,2025,-7819.238
935,medium_variant,5yearly,2030,-7782.526
935,medium_variant,5yearly,2035,-7817.56
935,medium_variant,5yearly,2040,-7819.486
935,medium_variant,5yearly,2045,-7817.445
935,medium_variant,5yearly,2050,-7426.757
935,medium_variant,5yearly,2055,-7035.899
935,medium_variant,5yearly,2060,-6645.043
935,medium_variant,5yearly,2065,-6254.161
935,medium_variant,5yearly,2070,-5863.319
935,medium_variant,5yearly,2075,-5472.429
935,medium_variant,5yearly,2080,-5081.492
935,medium_variant,5yearly,2085,-4690.582
935,medium_variant,5yearly,2090,-4299.699
935,medium_variant,5yearly,2095,-3908.728
