continent,variant,freq,year,netnumberofmigrants
904,estimates,5yearly,1950,-202.792
904,estimates,5yearly,1955,-1073.328
904,estimates,5yearly,1960,-1484.516
904,estimates,5yearly,1965,-2003.903
904,estimates,5yearly,1970,-2333.232
904,estimates,5yearly,1975,-3276.152
904,estimates,5yearly,1980,-3505.552
904,estimates,5yearly,1985,-3772.728
904,estimates,5yearly,1990,-3330.891
904,estimates,5yearly,1995,-4878.639
904,estimates,5yearly,2000,-5608.282
904,estimates,5yearly,2005,-2499.32
904,estimates,5yearly,2010,-1842.656
904,medium_variant,5yearly,2015,-1673.517
904,medium_variant,5yearly,2020,-1455.351
904,medium_variant,5yearly,2025,-1231.579
904,medium_variant,5yearly,2030,-1237.728
904,medium_variant,5yearly,2035,-1203.743
904,medium_variant,5yearly,2040,-1197.565
904,medium_variant,5yearly,2045,-1194.946
904,medium_variant,5yearly,2050,-1135.142
904,medium_variant,5yearly,2055,-1075.364
904,medium_variant,5yearly,2060,-1015.55
904,medium_variant,5yearly,2065,-955.822
904,medium_variant,5yearly,2070,-896.047
904,medium_variant,5yearly,2075,-836.301
904,medium_variant,5yearly,2080,-776.574
904,medium_variant,5yearly,2085,-716.876
904,medium_variant,5yearly,2090,-657.122
904,medium_variant,5yearly,2095,-597.451
904,estimates,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
904,medium_variant,5yearly,Regi,LATIN AMERICA AND THE CARIBBEAN
