country,variant,freq,year,noofbirth
48,estimates,5yearly,1950,28.043
48,estimates,5yearly,1955,33.736
48,estimates,5yearly,1960,39.848
48,estimates,5yearly,1965,41.566
48,estimates,5yearly,1970,42.198
48,estimates,5yearly,1975,51.718
48,estimates,5yearly,1980,64.186
48,estimates,5yearly,1985,71.853
48,estimates,5yearly,1990,70.772
48,estimates,5yearly,1995,70.962
48,estimates,5yearly,2000,79.361
48,estimates,5yearly,2005,92.281
48,estimates,5yearly,2010,104.287
48,constant_fertility,5yearly,2015,115.959
48,constant_mortality,5yearly,2015,109.225
48,high_variant,5yearly,2015,122.898
48,instant_replacement,5yearly,2015,112.783
48,low_variant,5yearly,2015,95.564
48,medium_variant,5yearly,2015,109.23
48,momentum,5yearly,2015,101.013
48,no_change,5yearly,2015,115.95
48,zero_migration,5yearly,2015,97.661
48,constant_fertility,5yearly,2020,125.945
48,constant_mortality,5yearly,2020,112.355
48,high_variant,5yearly,2020,136.159
48,instant_replacement,5yearly,2020,122.642
48,low_variant,5yearly,2020,88.601
48,medium_variant,5yearly,2020,112.38
48,momentum,5yearly,2020,93.035
48,no_change,5yearly,2020,125.917
48,zero_migration,5yearly,2020,85.009
48,constant_fertility,5yearly,2025,133.965
48,constant_mortality,5yearly,2025,114.388
48,high_variant,5yearly,2025,146.153
48,instant_replacement,5yearly,2025,130.72
48,low_variant,5yearly,2025,82.72
48,medium_variant,5yearly,2025,114.438
48,momentum,5yearly,2025,87.954
48,no_change,5yearly,2025,133.907
48,zero_migration,5yearly,2025,76.718
48,constant_fertility,5yearly,2030,139.903
48,constant_mortality,5yearly,2030,115.274
48,high_variant,5yearly,2030,148.74
48,instant_replacement,5yearly,2030,136.55
48,low_variant,5yearly,2030,82.083
48,medium_variant,5yearly,2030,115.357
48,momentum,5yearly,2030,89.248
48,no_change,5yearly,2030,139.801
48,zero_migration,5yearly,2030,75.078
48,constant_fertility,5yearly,2035,137.557
48,constant_mortality,5yearly,2035,109.023
48,high_variant,5yearly,2035,143.621
48,instant_replacement,5yearly,2035,133.268
48,low_variant,5yearly,2035,75.711
48,medium_variant,5yearly,2035,109.156
48,momentum,5yearly,2035,94.362
48,no_change,5yearly,2035,137.386
48,zero_migration,5yearly,2035,76.871
48,constant_fertility,5yearly,2040,135.292
48,constant_mortality,5yearly,2040,102.881
48,high_variant,5yearly,2040,141.092
48,instant_replacement,5yearly,2040,129.488
48,low_variant,5yearly,2040,68.361
48,medium_variant,5yearly,2040,103.087
48,momentum,5yearly,2040,98.062
48,no_change,5yearly,2040,135.011
48,zero_migration,5yearly,2040,77.614
48,constant_fertility,5yearly,2045,137.316
48,constant_mortality,5yearly,2045,100.227
48,high_variant,5yearly,2045,145.453
48,instant_replacement,5yearly,2045,130.444
48,low_variant,5yearly,2045,62.376
48,medium_variant,5yearly,2045,100.533
48,momentum,5yearly,2045,97.672
48,no_change,5yearly,2045,136.886
48,zero_migration,5yearly,2045,74.885
48,constant_fertility,5yearly,2050,142.711
48,constant_mortality,5yearly,2050,100.219
48,high_variant,5yearly,2050,153.962
48,instant_replacement,5yearly,2050,135.31
48,low_variant,5yearly,2050,57.965
48,medium_variant,5yearly,2050,100.636
48,momentum,5yearly,2050,94.492
48,no_change,5yearly,2050,142.106
48,zero_migration,5yearly,2050,69.771
48,constant_fertility,5yearly,2055,148.206
48,constant_mortality,5yearly,2055,100.828
48,high_variant,5yearly,2055,161.597
48,instant_replacement,5yearly,2055,140.58
48,low_variant,5yearly,2055,54.983
48,medium_variant,5yearly,2055,101.354
48,momentum,5yearly,2055,91.864
48,no_change,5yearly,2055,147.42
48,zero_migration,5yearly,2055,65.331
48,constant_fertility,5yearly,2060,151.393
48,constant_mortality,5yearly,2060,100.114
48,high_variant,5yearly,2060,165.262
48,instant_replacement,5yearly,2060,143.505
48,low_variant,5yearly,2060,52.464
48,medium_variant,5yearly,2060,100.741
48,momentum,5yearly,2060,91.798
48,no_change,5yearly,2060,150.426
48,zero_migration,5yearly,2060,63.11
48,constant_fertility,5yearly,2065,152.472
48,constant_mortality,5yearly,2065,98.005
48,high_variant,5yearly,2065,166.131
48,instant_replacement,5yearly,2065,143.641
48,low_variant,5yearly,2065,49.868
48,medium_variant,5yearly,2065,98.72
48,momentum,5yearly,2065,93.746
48,no_change,5yearly,2065,151.325
48,zero_migration,5yearly,2065,62.807
48,constant_fertility,5yearly,2070,153.15
48,constant_mortality,5yearly,2070,95.244
48,high_variant,5yearly,2070,167.097
48,instant_replacement,5yearly,2070,142.661
48,low_variant,5yearly,2070,46.819
48,medium_variant,5yearly,2070,96.051
48,momentum,5yearly,2070,95.662
48,no_change,5yearly,2070,151.804
48,zero_migration,5yearly,2070,62.667
48,constant_fertility,5yearly,2075,154.864
48,constant_mortality,5yearly,2075,93.11
48,high_variant,5yearly,2075,170.656
48,instant_replacement,5yearly,2075,142.921
48,low_variant,5yearly,2075,43.709
48,medium_variant,5yearly,2075,94.021
48,momentum,5yearly,2075,95.968
48,no_change,5yearly,2075,153.292
48,zero_migration,5yearly,2075,61.369
48,constant_fertility,5yearly,2080,157.76
48,constant_mortality,5yearly,2080,92.302
48,high_variant,5yearly,2080,177.021
48,instant_replacement,5yearly,2080,145.119
48,low_variant,5yearly,2080,41.163
48,medium_variant,5yearly,2080,93.332
48,momentum,5yearly,2080,94.757
48,no_change,5yearly,2080,155.939
48,zero_migration,5yearly,2080,59.084
48,constant_fertility,5yearly,2085,160.908
48,constant_mortality,5yearly,2085,91.924
48,high_variant,5yearly,2085,183.565
48,instant_replacement,5yearly,2085,148.046
48,low_variant,5yearly,2085,39.054
48,medium_variant,5yearly,2085,93.079
48,momentum,5yearly,2085,93.352
48,no_change,5yearly,2085,158.817
48,zero_migration,5yearly,2085,56.594
48,constant_fertility,5yearly,2090,163.367
48,constant_mortality,5yearly,2090,91.289
48,high_variant,5yearly,2090,188.53
48,instant_replacement,5yearly,2090,150.1
48,low_variant,5yearly,2090,37.275
48,medium_variant,5yearly,2090,92.564
48,momentum,5yearly,2090,92.963
48,no_change,5yearly,2090,161.012
48,zero_migration,5yearly,2090,54.916
48,constant_fertility,5yearly,2095,164.975
48,constant_mortality,5yearly,2095,89.835
48,high_variant,5yearly,2095,191.46
48,instant_replacement,5yearly,2095,150.668
48,low_variant,5yearly,2095,35.451
48,medium_variant,5yearly,2095,91.214
48,momentum,5yearly,2095,93.701
48,no_change,5yearly,2095,162.355
48,zero_migration,5yearly,2095,54.063
