country,variant,gender,freq,year,lifeexpectancyatbirth
566,estimates,female,5yearly,1950,35.37
566,estimates,male,5yearly,1950,32.34
566,estimates,female,5yearly,1955,37.3
566,estimates,male,5yearly,1955,34.37
566,estimates,female,5yearly,1960,39.57
566,estimates,male,5yearly,1960,36.76
566,estimates,female,5yearly,1965,41.36
566,estimates,male,5yearly,1965,38.64
566,estimates,female,5yearly,1970,43.37
566,estimates,male,5yearly,1970,40.74
566,estimates,female,5yearly,1975,45.59
566,estimates,male,5yearly,1975,43.03
566,estimates,female,5yearly,1980,47.31
566,estimates,male,5yearly,1980,44.79
566,estimates,female,5yearly,1985,47.22
566,estimates,male,5yearly,1985,44.73
566,estimates,female,5yearly,1990,47.15
566,estimates,male,5yearly,1990,44.65
566,estimates,female,5yearly,1995,47.02
566,estimates,male,5yearly,1995,45.03
566,estimates,female,5yearly,2000,47.79
566,estimates,male,5yearly,2000,46.12
566,estimates,female,5yearly,2005,50.47
566,estimates,male,5yearly,2005,49.03
566,estimates,female,5yearly,2010,52.61
566,estimates,male,5yearly,2010,51.16
566,medium_variant,female,5yearly,2015,54.93
566,medium_variant,male,5yearly,2015,53.3
566,medium_variant,female,5yearly,2020,57.25
566,medium_variant,male,5yearly,2020,55.4
566,medium_variant,female,5yearly,2025,59.53
566,medium_variant,male,5yearly,2025,57.45
566,medium_variant,female,5yearly,2030,61.7
566,medium_variant,male,5yearly,2030,59.43
566,medium_variant,female,5yearly,2035,63.75
566,medium_variant,male,5yearly,2035,61.22
566,medium_variant,female,5yearly,2040,65.61
566,medium_variant,male,5yearly,2040,62.85
566,medium_variant,female,5yearly,2045,67.27
566,medium_variant,male,5yearly,2045,64.28
566,medium_variant,female,5yearly,2050,68.78
566,medium_variant,male,5yearly,2050,65.54
566,medium_variant,female,5yearly,2055,70.14
566,medium_variant,male,5yearly,2055,66.63
566,medium_variant,female,5yearly,2060,71.31
566,medium_variant,male,5yearly,2060,67.56
566,medium_variant,female,5yearly,2065,72.4
566,medium_variant,male,5yearly,2065,68.41
566,medium_variant,female,5yearly,2070,73.37
566,medium_variant,male,5yearly,2070,69.15
566,medium_variant,female,5yearly,2075,74.28
566,medium_variant,male,5yearly,2075,69.85
566,medium_variant,female,5yearly,2080,75.17
566,medium_variant,male,5yearly,2080,70.51
566,medium_variant,female,5yearly,2085,76.0
566,medium_variant,male,5yearly,2085,71.17
566,medium_variant,female,5yearly,2090,76.74
566,medium_variant,male,5yearly,2090,71.86
566,medium_variant,female,5yearly,2095,77.48
566,medium_variant,male,5yearly,2095,72.5
566,estimates,female,5yearly,Regi,Nigeria
566,estimates,male,5yearly,Regi,Nigeria
566,medium_variant,female,5yearly,Regi,Nigeria
566,medium_variant,male,5yearly,Regi,Nigeria
