country,variant,gender,freq,year,lifeexpectancyatbirth
858,estimates,female,5yearly,1950,69.4
858,estimates,male,5yearly,1950,63.28
858,estimates,female,5yearly,1955,70.43
858,estimates,male,5yearly,1955,64.2
858,estimates,female,5yearly,1960,71.64
858,estimates,male,5yearly,1960,65.38
858,estimates,female,5yearly,1965,71.92
858,estimates,male,5yearly,1965,65.5
858,estimates,female,5yearly,1970,72.2
858,estimates,male,5yearly,1970,65.62
858,estimates,female,5yearly,1975,73.12
858,estimates,male,5yearly,1975,66.31
858,estimates,female,5yearly,1980,74.54
858,estimates,male,5yearly,1980,67.61
858,estimates,female,5yearly,1985,75.81
858,estimates,male,5yearly,1985,68.58
858,estimates,female,5yearly,1990,76.92
858,estimates,male,5yearly,1990,69.22
858,estimates,female,5yearly,1995,77.99
858,estimates,male,5yearly,1995,70.45
858,estimates,female,5yearly,2000,78.94
858,estimates,male,5yearly,2000,71.63
858,estimates,female,5yearly,2005,79.71
858,estimates,male,5yearly,2005,72.51
858,estimates,female,5yearly,2010,80.44
858,estimates,male,5yearly,2010,73.25
858,medium_variant,female,5yearly,2015,81.06
858,medium_variant,male,5yearly,2015,74.13
858,medium_variant,female,5yearly,2020,81.68
858,medium_variant,male,5yearly,2020,75.05
858,medium_variant,female,5yearly,2025,82.3
858,medium_variant,male,5yearly,2025,75.98
858,medium_variant,female,5yearly,2030,82.9
858,medium_variant,male,5yearly,2030,76.96
858,medium_variant,female,5yearly,2035,83.5
858,medium_variant,male,5yearly,2035,77.94
858,medium_variant,female,5yearly,2040,84.1
858,medium_variant,male,5yearly,2040,78.94
858,medium_variant,female,5yearly,2045,84.68
858,medium_variant,male,5yearly,2045,79.93
858,medium_variant,female,5yearly,2050,85.26
858,medium_variant,male,5yearly,2050,80.84
858,medium_variant,female,5yearly,2055,85.84
858,medium_variant,male,5yearly,2055,81.67
858,medium_variant,female,5yearly,2060,86.41
858,medium_variant,male,5yearly,2060,82.38
858,medium_variant,female,5yearly,2065,86.98
858,medium_variant,male,5yearly,2065,83.01
858,medium_variant,female,5yearly,2070,87.55
858,medium_variant,male,5yearly,2070,83.64
858,medium_variant,female,5yearly,2075,88.11
858,medium_variant,male,5yearly,2075,84.23
858,medium_variant,female,5yearly,2080,88.69
858,medium_variant,male,5yearly,2080,84.81
858,medium_variant,female,5yearly,2085,89.25
858,medium_variant,male,5yearly,2085,85.35
858,medium_variant,female,5yearly,2090,89.82
858,medium_variant,male,5yearly,2090,85.92
858,medium_variant,female,5yearly,2095,90.38
858,medium_variant,male,5yearly,2095,86.47
