region,year,variant,freq,age5yearinterval,fertilityrateper1000women
916,1950,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1950,estimates,5yearly,15_19,125.355045779767
916,1950,estimates,5yearly,20_24,302.215596302781
916,1950,estimates,5yearly,25_29,321.204884849825
916,1950,estimates,5yearly,30_34,280.935813833947
916,1950,estimates,5yearly,35_39,198.391792047603
916,1950,estimates,5yearly,40_44,98.5345077732526
916,1950,estimates,5yearly,45_49,25.9475870360571
916,1955,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1955,estimates,5yearly,15_19,125.871986548139
916,1955,estimates,5yearly,20_24,304.813459144294
916,1955,estimates,5yearly,25_29,323.617152577754
916,1955,estimates,5yearly,30_34,283.047390110117
916,1955,estimates,5yearly,35_39,199.997146231578
916,1955,estimates,5yearly,40_44,99.0426914764537
916,1955,estimates,5yearly,45_49,25.9788511326678
916,1960,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1960,estimates,5yearly,15_19,125.462783346463
916,1960,estimates,5yearly,20_24,301.400828961085
916,1960,estimates,5yearly,25_29,326.40911481379
916,1960,estimates,5yearly,30_34,278.123930080208
916,1960,estimates,5yearly,35_39,199.058000232356
916,1960,estimates,5yearly,40_44,95.9821392732756
916,1960,estimates,5yearly,45_49,24.1895325697653
916,1965,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1965,estimates,5yearly,15_19,124.280559756537
916,1965,estimates,5yearly,20_24,298.917726059777
916,1965,estimates,5yearly,25_29,323.231411411141
916,1965,estimates,5yearly,30_34,275.080297180677
916,1965,estimates,5yearly,35_39,196.655918653495
916,1965,estimates,5yearly,40_44,94.8349885751404
916,1965,estimates,5yearly,45_49,23.7287005118196
916,1970,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1970,estimates,5yearly,15_19,124.934956354051
916,1970,estimates,5yearly,20_24,298.183172892525
916,1970,estimates,5yearly,25_29,318.092378419976
916,1970,estimates,5yearly,30_34,267.591314230015
916,1970,estimates,5yearly,35_39,189.177888353466
916,1970,estimates,5yearly,40_44,90.2292092483782
916,1970,estimates,5yearly,45_49,22.3230119422888
916,1975,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1975,estimates,5yearly,15_19,116.112599083379
916,1975,estimates,5yearly,20_24,265.830772075248
916,1975,estimates,5yearly,25_29,270.593685698149
916,1975,estimates,5yearly,30_34,216.243181156428
916,1975,estimates,5yearly,35_39,147.801661361911
916,1975,estimates,5yearly,40_44,65.5542489831706
916,1975,estimates,5yearly,45_49,15.4769429656313
916,1980,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1980,estimates,5yearly,15_19,105.990776706905
916,1980,estimates,5yearly,20_24,233.704187564698
916,1980,estimates,5yearly,25_29,229.074709562182
916,1980,estimates,5yearly,30_34,175.888785189932
916,1980,estimates,5yearly,35_39,116.267764488314
916,1980,estimates,5yearly,40_44,48.1000049067532
916,1980,estimates,5yearly,45_49,10.8294012386665
916,1985,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1985,estimates,5yearly,15_19,97.2960051974888
916,1985,estimates,5yearly,20_24,209.367019860299
916,1985,estimates,5yearly,25_29,199.373371122638
916,1985,estimates,5yearly,30_34,149.268916911525
916,1985,estimates,5yearly,35_39,96.5436548051935
916,1985,estimates,5yearly,40_44,37.6254793638447
916,1985,estimates,5yearly,45_49,8.41386461529956
916,1990,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1990,estimates,5yearly,15_19,89.2781540982722
916,1990,estimates,5yearly,20_24,187.093433978718
916,1990,estimates,5yearly,25_29,175.196135466148
916,1990,estimates,5yearly,30_34,128.886655876678
916,1990,estimates,5yearly,35_39,81.4223130564781
916,1990,estimates,5yearly,40_44,30.8021819074787
916,1990,estimates,5yearly,45_49,6.62112402535676
916,1995,estimates,5yearly,"Region, subregion, country or area *",Central America
916,1995,estimates,5yearly,15_19,90.2549176083116
916,1995,estimates,5yearly,20_24,161.503048762462
916,1995,estimates,5yearly,25_29,159.80896340807
916,1995,estimates,5yearly,30_34,113.954811753711
916,1995,estimates,5yearly,35_39,68.0307053770233
916,1995,estimates,5yearly,40_44,20.6193629875304
916,1995,estimates,5yearly,45_49,4.56814806600317
916,2000,estimates,5yearly,"Region, subregion, country or area *",Central America
916,2000,estimates,5yearly,15_19,82.9177664886549
916,2000,estimates,5yearly,20_24,150.426648274122
916,2000,estimates,5yearly,25_29,146.562674770303
916,2000,estimates,5yearly,30_34,101.611672772379
916,2000,estimates,5yearly,35_39,58.4443154817305
916,2000,estimates,5yearly,40_44,16.6119911488883
916,2000,estimates,5yearly,45_49,3.5082539028723
916,2005,estimates,5yearly,"Region, subregion, country or area *",Central America
916,2005,estimates,5yearly,15_19,75.5443736390946
916,2005,estimates,5yearly,20_24,138.750539622059
916,2005,estimates,5yearly,25_29,134.056033158919
916,2005,estimates,5yearly,30_34,91.3284756595144
916,2005,estimates,5yearly,35_39,50.9188926484463
916,2005,estimates,5yearly,40_44,13.8668997308176
916,2005,estimates,5yearly,45_49,2.79098635753178
916,2010,estimates,5yearly,"Region, subregion, country or area *",Central America
916,2010,estimates,5yearly,15_19,69.5751632156264
916,2010,estimates,5yearly,20_24,129.672109802798
916,2010,estimates,5yearly,25_29,126.676155913736
916,2010,estimates,5yearly,30_34,86.4571350163186
916,2010,estimates,5yearly,35_39,47.577250652457
916,2010,estimates,5yearly,40_44,12.6774814972162
916,2010,estimates,5yearly,45_49,2.56815103601547
916,2015,constant_fertility,5yearly,"Region, subregion, country or area *",Central America
916,2015,constant_mortality,5yearly,"Region, subregion, country or area *",Central America
916,2015,high_variant,5yearly,"Region, subregion, country or area *",Central America
916,2015,instant_replacement,5yearly,"Region, subregion, country or area *",Central America
916,2015,low_variant,5yearly,"Region, subregion, country or area *",Central America
916,2015,medium_variant,5yearly,"Region, subregion, country or area *",Central America
916,2015,momentum,5yearly,"Region, subregion, country or area *",Central America
916,2015,no_change,5yearly,"Region, subregion, country or area *",Central America
916,2015,zero_migration,5yearly,"Region, subregion, country or area *",Central America
916,2015,constant_fertility,5yearly,15_19,69.6443636318433
916,2015,constant_mortality,5yearly,15_19,63.6607989861428
916,2015,high_variant,5yearly,15_19,70.8138448010365
916,2015,instant_replacement,5yearly,15_19,60.3705576531016
916,2015,low_variant,5yearly,15_19,56.5083159378856
916,2015,medium_variant,5yearly,15_19,63.6610557539871
916,2015,momentum,5yearly,15_19,60.6391568399524
916,2015,no_change,5yearly,15_19,69.6440926459288
916,2015,zero_migration,5yearly,15_19,63.6747995470067
916,2015,constant_fertility,5yearly,20_24,129.953344236483
916,2015,constant_mortality,5yearly,20_24,121.153434751418
916,2015,high_variant,5yearly,20_24,134.788325630621
916,2015,instant_replacement,5yearly,20_24,115.04961824848
916,2015,low_variant,5yearly,20_24,107.52007831483
916,2015,medium_variant,5yearly,20_24,121.153800152152
916,2015,momentum,5yearly,20_24,115.519213775457
916,2015,no_change,5yearly,20_24,129.952828189434
916,2015,zero_migration,5yearly,20_24,121.143949153197
916,2015,constant_fertility,5yearly,25_29,126.839608384713
916,2015,constant_mortality,5yearly,25_29,119.159185560446
916,2015,high_variant,5yearly,25_29,132.622161883319
916,2015,instant_replacement,5yearly,25_29,113.556108117559
916,2015,low_variant,5yearly,25_29,105.695783648315
916,2015,medium_variant,5yearly,25_29,119.159240120154
916,2015,momentum,5yearly,25_29,114.006941681979
916,2015,no_change,5yearly,25_29,126.839400238748
916,2015,zero_migration,5yearly,25_29,119.14603092913
916,2015,constant_fertility,5yearly,30_34,86.7566908706546
