region,variant,freq,year,netnumberofmigrants
921,estimates,5yearly,1950,576.161
921,estimates,5yearly,1955,776.531
921,estimates,5yearly,1960,541.51
921,estimates,5yearly,1965,38.138
921,estimates,5yearly,1970,-1109.751
921,estimates,5yearly,1975,-568.434
921,estimates,5yearly,1980,-1346.989
921,estimates,5yearly,1985,-1766.221
921,estimates,5yearly,1990,-4648.428
921,estimates,5yearly,1995,-4847.533
921,estimates,5yearly,2000,-5088.607
921,estimates,5yearly,2005,-11104.953
921,estimates,5yearly,2010,-7258.4
921,medium_variant,5yearly,2015,-7506.33
921,medium_variant,5yearly,2020,-5811.068
921,medium_variant,5yearly,2025,-5742.383
921,medium_variant,5yearly,2030,-5742.69
921,medium_variant,5yearly,2035,-5742.692
921,medium_variant,5yearly,2040,-5742.69
921,medium_variant,5yearly,2045,-5742.696
921,medium_variant,5yearly,2050,-5455.551
921,medium_variant,5yearly,2055,-5168.42
921,medium_variant,5yearly,2060,-4881.283
921,medium_variant,5yearly,2065,-4594.146
921,medium_variant,5yearly,2070,-4307.01
921,medium_variant,5yearly,2075,-4019.879
921,medium_variant,5yearly,2080,-3732.75
921,medium_variant,5yearly,2085,-3445.62
921,medium_variant,5yearly,2090,-3158.469
921,medium_variant,5yearly,2095,-2871.355
