region,variant,freq,year,netnumberofmigrants
1502,estimates,5yearly,1950,-108.21
1502,estimates,5yearly,1955,-1533.726
1502,estimates,5yearly,1960,-3556.988
1502,estimates,5yearly,1965,-2456.832
1502,estimates,5yearly,1970,-3272.344
1502,estimates,5yearly,1975,-2534.985
1502,estimates,5yearly,1980,-316.171
1502,estimates,5yearly,1985,-2540.102
1502,estimates,5yearly,1990,-6136.552
1502,estimates,5yearly,1995,-3194.303
1502,estimates,5yearly,2000,-4248.577
1502,estimates,5yearly,2005,-2964.667
1502,estimates,5yearly,2010,1900.617
1502,medium_variant,5yearly,2015,-449.063
1502,medium_variant,5yearly,2020,-4095.305
1502,medium_variant,5yearly,2025,-3344.366
1502,medium_variant,5yearly,2030,-2446.392
1502,medium_variant,5yearly,2035,-2240.928
1502,medium_variant,5yearly,2040,-2242.859
1502,medium_variant,5yearly,2045,-2245.808
1502,medium_variant,5yearly,2050,-2133.716
1502,medium_variant,5yearly,2055,-2021.428
1502,medium_variant,5yearly,2060,-1909.132
1502,medium_variant,5yearly,2065,-1796.892
1502,medium_variant,5yearly,2070,-1684.558
1502,medium_variant,5yearly,2075,-1572.274
1502,medium_variant,5yearly,2080,-1459.923
1502,medium_variant,5yearly,2085,-1347.626
1502,medium_variant,5yearly,2090,-1235.279
1502,medium_variant,5yearly,2095,-1122.923
