region,variant,freq,year,netnumberofmigrants
954,estimates,5yearly,1950,-5.917
954,estimates,5yearly,1955,-6.016
954,estimates,5yearly,1960,-4.15
954,estimates,5yearly,1965,-3.454
954,estimates,5yearly,1970,-11.666
954,estimates,5yearly,1975,-7.092
954,estimates,5yearly,1980,7.739
954,estimates,5yearly,1985,7.672
954,estimates,5yearly,1990,-0.845
954,estimates,5yearly,1995,-22.534
954,estimates,5yearly,2000,-44.851
954,estimates,5yearly,2005,-42.95
954,estimates,5yearly,2010,-23.737
954,medium_variant,5yearly,2015,-15.465
954,medium_variant,5yearly,2020,-13.007
954,medium_variant,5yearly,2025,-10.752
954,medium_variant,5yearly,2030,-10.755
954,medium_variant,5yearly,2035,-10.754
954,medium_variant,5yearly,2040,-10.748
954,medium_variant,5yearly,2045,-10.75
954,medium_variant,5yearly,2050,-10.218
954,medium_variant,5yearly,2055,-9.706
954,medium_variant,5yearly,2060,-9.176
954,medium_variant,5yearly,2065,-8.647
954,medium_variant,5yearly,2070,-8.129
954,medium_variant,5yearly,2075,-7.598
954,medium_variant,5yearly,2080,-7.059
954,medium_variant,5yearly,2085,-6.545
954,medium_variant,5yearly,2090,-6.014
954,medium_variant,5yearly,2095,-5.497
954,estimates,5yearly,Regi,Micronesia
954,medium_variant,5yearly,Regi,Micronesia
