region,variant,freq,year,netnumberofmigrants
911,estimates,5yearly,1950,-6.14
911,estimates,5yearly,1955,-2.979
911,estimates,5yearly,1960,-2.163
911,estimates,5yearly,1965,7.895
911,estimates,5yearly,1970,-187.696
911,estimates,5yearly,1975,-92.986
911,estimates,5yearly,1980,-254.193
911,estimates,5yearly,1985,-119.549
911,estimates,5yearly,1990,1478.775
911,estimates,5yearly,1995,-1001.318
911,estimates,5yearly,2000,196.452
911,estimates,5yearly,2005,176.234
911,estimates,5yearly,2010,-119.904
911,medium_variant,5yearly,2015,15.3
911,medium_variant,5yearly,2020,1.252
911,medium_variant,5yearly,2025,-98.502
911,medium_variant,5yearly,2030,-113.503
911,medium_variant,5yearly,2035,-113.503
911,medium_variant,5yearly,2040,-118.505
911,medium_variant,5yearly,2045,-123.501
911,medium_variant,5yearly,2050,-117.325
911,medium_variant,5yearly,2055,-111.153
911,medium_variant,5yearly,2060,-104.976
911,medium_variant,5yearly,2065,-98.797
911,medium_variant,5yearly,2070,-92.625
911,medium_variant,5yearly,2075,-86.445
911,medium_variant,5yearly,2080,-80.276
911,medium_variant,5yearly,2085,-74.097
911,medium_variant,5yearly,2090,-67.927
911,medium_variant,5yearly,2095,-61.747
