region,variant,freq,year,netnumberofmigrants
912,estimates,5yearly,1950,-373.584
912,estimates,5yearly,1955,-393.051
912,estimates,5yearly,1960,-659.392
912,estimates,5yearly,1965,-870.159
912,estimates,5yearly,1970,-1321.873
912,estimates,5yearly,1975,-855.464
912,estimates,5yearly,1980,-362.3
912,estimates,5yearly,1985,-508.872
912,estimates,5yearly,1990,-245.92
912,estimates,5yearly,1995,-1631.315
912,estimates,5yearly,2000,-1549.532
912,estimates,5yearly,2005,-2430.404
912,estimates,5yearly,2010,-1811.29
912,medium_variant,5yearly,2015,-834.186
912,medium_variant,5yearly,2020,-634.187
912,medium_variant,5yearly,2025,-584.19
912,medium_variant,5yearly,2030,-584.19
912,medium_variant,5yearly,2035,-584.19
912,medium_variant,5yearly,2040,-584.19
912,medium_variant,5yearly,2045,-584.19
912,medium_variant,5yearly,2050,-554.972
912,medium_variant,5yearly,2055,-525.762
912,medium_variant,5yearly,2060,-496.553
912,medium_variant,5yearly,2065,-467.352
912,medium_variant,5yearly,2070,-438.14
912,medium_variant,5yearly,2075,-408.931
912,medium_variant,5yearly,2080,-379.719
912,medium_variant,5yearly,2085,-350.509
912,medium_variant,5yearly,2090,-321.298
912,medium_variant,5yearly,2095,-292.094
912,estimates,5yearly,Regi,Northern Africa
912,medium_variant,5yearly,Regi,Northern Africa
