region,variant,freq,year,netnumberofmigrants
1503,estimates,5yearly,1950,997.015
1503,estimates,5yearly,1955,2525.139
1503,estimates,5yearly,1960,4236.125
1503,estimates,5yearly,1965,4496.305
1503,estimates,5yearly,1970,7781.316
1503,estimates,5yearly,1975,7597.148
1503,estimates,5yearly,1980,6822.774
1503,estimates,5yearly,1985,8893.374
1503,estimates,5yearly,1990,11246.773
1503,estimates,5yearly,1995,14497.525
1503,estimates,5yearly,2000,18224.342
1503,estimates,5yearly,2005,22411.432
1503,estimates,5yearly,2010,15894.197
1503,medium_variant,5yearly,2015,14620.307
1503,medium_variant,5yearly,2020,12602.509
1503,medium_variant,5yearly,2025,13044.115
1503,medium_variant,5yearly,2030,12871.003
1503,medium_variant,5yearly,2035,12735.808
1503,medium_variant,5yearly,2040,12730.638
1503,medium_variant,5yearly,2045,12730.289
1503,medium_variant,5yearly,2050,12093.796
1503,medium_variant,5yearly,2055,11457.288
1503,medium_variant,5yearly,2060,10820.723
1503,medium_variant,5yearly,2065,10184.222
1503,medium_variant,5yearly,2070,9547.685
1503,medium_variant,5yearly,2075,8911.171
1503,medium_variant,5yearly,2080,8274.658
1503,medium_variant,5yearly,2085,7638.116
1503,medium_variant,5yearly,2090,7001.611
1503,medium_variant,5yearly,2095,6365.12
