region,variant,freq,year,netnumberofmigrants
1517,estimates,5yearly,1950,-20.761
1517,estimates,5yearly,1955,-2109.236
1517,estimates,5yearly,1960,-3708.347
1517,estimates,5yearly,1965,-4405.472
1517,estimates,5yearly,1970,-6400.756
1517,estimates,5yearly,1975,-4663.045
1517,estimates,5yearly,1980,-1567.366
1517,estimates,5yearly,1985,-5900.079
1517,estimates,5yearly,1990,-12209.022
1517,estimates,5yearly,1995,-12470.218
1517,estimates,5yearly,2000,-17498.136
1517,estimates,5yearly,2005,-19365.072
1517,estimates,5yearly,2010,-13710.844
1517,medium_variant,5yearly,2015,-12448.919
1517,medium_variant,5yearly,2020,-10479.561
1517,medium_variant,5yearly,2025,-10848.534
1517,medium_variant,5yearly,2030,-10650.907
1517,medium_variant,5yearly,2035,-10515.883
1517,medium_variant,5yearly,2040,-10510.799
1517,medium_variant,5yearly,2045,-10510.5
1517,medium_variant,5yearly,2050,-9985.169
1517,medium_variant,5yearly,2055,-9459.676
1517,medium_variant,5yearly,2060,-8934.133
1517,medium_variant,5yearly,2065,-8408.647
1517,medium_variant,5yearly,2070,-7883.105
1517,medium_variant,5yearly,2075,-7357.552
1517,medium_variant,5yearly,2080,-6831.997
1517,medium_variant,5yearly,2085,-6306.425
1517,medium_variant,5yearly,2090,-5780.862
1517,medium_variant,5yearly,2095,-5255.315
1517,estimates,5yearly,Regi,Middle-income countries
1517,medium_variant,5yearly,Regi,Middle-income countries
