region,variant,freq,year,netnumberofmigrants
5501,estimates,5yearly,1950,-242.23
5501,estimates,5yearly,1955,-341.538
5501,estimates,5yearly,1960,-461.947
5501,estimates,5yearly,1965,-737.703
5501,estimates,5yearly,1970,-1053.391
5501,estimates,5yearly,1975,-160.514
5501,estimates,5yearly,1980,-603.864
5501,estimates,5yearly,1985,-529.091
5501,estimates,5yearly,1990,-2392.028
5501,estimates,5yearly,1995,-2893.178
5501,estimates,5yearly,2000,-4509.555
5501,estimates,5yearly,2005,-10717.061
5501,estimates,5yearly,2010,-7063.835
5501,medium_variant,5yearly,2015,-7237.015
5501,medium_variant,5yearly,2020,-5541.753
5501,medium_variant,5yearly,2025,-5473.068
5501,medium_variant,5yearly,2030,-5473.375
5501,medium_variant,5yearly,2035,-5473.377
5501,medium_variant,5yearly,2040,-5473.375
5501,medium_variant,5yearly,2045,-5473.381
5501,medium_variant,5yearly,2050,-5199.7
5501,medium_variant,5yearly,2055,-4926.037
5501,medium_variant,5yearly,2060,-4652.367
5501,medium_variant,5yearly,2065,-4378.7
5501,medium_variant,5yearly,2070,-4105.025
5501,medium_variant,5yearly,2075,-3831.358
5501,medium_variant,5yearly,2080,-3557.695
5501,medium_variant,5yearly,2085,-3284.033
5501,medium_variant,5yearly,2090,-3010.348
5501,medium_variant,5yearly,2095,-2736.696
5501,estimates,5yearly,Regi,Southern Asia
5501,medium_variant,5yearly,Regi,Southern Asia
