region,variant,freq,year,netnumberofmigrants
934,estimates,5yearly,1950,-171.336
934,estimates,5yearly,1955,385.932
934,estimates,5yearly,1960,-1642.693
934,estimates,5yearly,1965,-2445.711
934,estimates,5yearly,1970,-2170.675
934,estimates,5yearly,1975,-2671.791
934,estimates,5yearly,1980,62.653
934,estimates,5yearly,1985,-3655.782
934,estimates,5yearly,1990,-12123.543
934,estimates,5yearly,1995,-9479.841
934,estimates,5yearly,2000,-11627.382
934,estimates,5yearly,2005,-7072.47
934,estimates,5yearly,2010,-5207.597
934,medium_variant,5yearly,2015,-6816.027
934,medium_variant,5yearly,2020,-7015.019
934,medium_variant,5yearly,2025,-7450.329
934,medium_variant,5yearly,2030,-7430.33
934,medium_variant,5yearly,2035,-7465.335
934,medium_variant,5yearly,2040,-7465.323
934,medium_variant,5yearly,2045,-7465.118
934,medium_variant,5yearly,2050,-7091.893
934,medium_variant,5yearly,2055,-6718.624
934,medium_variant,5yearly,2060,-6345.356
934,medium_variant,5yearly,2065,-5972.123
934,medium_variant,5yearly,2070,-5598.877
934,medium_variant,5yearly,2075,-5225.619
934,medium_variant,5yearly,2080,-4852.329
934,medium_variant,5yearly,2085,-4479.107
934,medium_variant,5yearly,2090,-4105.847
934,medium_variant,5yearly,2095,-3732.599
