region,variant,freq,year,netnumberofmigrants
914,estimates,5yearly,1950,-25.261
914,estimates,5yearly,1955,31.154
914,estimates,5yearly,1960,-110.451
914,estimates,5yearly,1965,-270.012
914,estimates,5yearly,1970,-402.166
914,estimates,5yearly,1975,-415.942
914,estimates,5yearly,1980,-695.243
914,estimates,5yearly,1985,-854.665
914,estimates,5yearly,1990,-191.842
914,estimates,5yearly,1995,-440.174
914,estimates,5yearly,2000,-706.773
914,estimates,5yearly,2005,-920.875
914,estimates,5yearly,2010,-1183.962
914,medium_variant,5yearly,2015,-944.377
914,medium_variant,5yearly,2020,-927.308
914,medium_variant,5yearly,2025,-930.849
914,medium_variant,5yearly,2030,-929.682
914,medium_variant,5yearly,2035,-928.801
914,medium_variant,5yearly,2040,-928.153
914,medium_variant,5yearly,2045,-927.658
914,medium_variant,5yearly,2050,-881.276
914,medium_variant,5yearly,2055,-834.905
914,medium_variant,5yearly,2060,-788.526
914,medium_variant,5yearly,2065,-742.129
914,medium_variant,5yearly,2070,-695.748
914,medium_variant,5yearly,2075,-649.357
914,medium_variant,5yearly,2080,-602.991
914,medium_variant,5yearly,2085,-556.588
914,medium_variant,5yearly,2090,-510.222
914,medium_variant,5yearly,2095,-463.857
914,estimates,5yearly,Regi,Western Africa
914,medium_variant,5yearly,Regi,Western Africa
