region,variant,freq,year,netmigrationrateper1000pop
914,estimates,5yearly,1950,-0.068
914,estimates,5yearly,1955,0.077
914,estimates,5yearly,1960,-0.246
914,estimates,5yearly,1965,-0.538
914,estimates,5yearly,1970,-0.711
914,estimates,5yearly,1975,-0.646
914,estimates,5yearly,1980,-0.942
914,estimates,5yearly,1985,-1.01
914,estimates,5yearly,1990,-0.198
914,estimates,5yearly,1995,-0.398
914,estimates,5yearly,2000,-0.561
914,estimates,5yearly,2005,-0.639
914,estimates,5yearly,2010,-0.717
914,medium_variant,5yearly,2015,-0.5
914,medium_variant,5yearly,2020,-0.431
914,medium_variant,5yearly,2025,-0.381
914,medium_variant,5yearly,2030,-0.337
914,medium_variant,5yearly,2035,-0.299
914,medium_variant,5yearly,2040,-0.268
914,medium_variant,5yearly,2045,-0.241
914,medium_variant,5yearly,2050,-0.207
914,medium_variant,5yearly,2055,-0.179
914,medium_variant,5yearly,2060,-0.155
914,medium_variant,5yearly,2065,-0.135
914,medium_variant,5yearly,2070,-0.118
914,medium_variant,5yearly,2075,-0.103
914,medium_variant,5yearly,2080,-0.09
914,medium_variant,5yearly,2085,-0.079
914,medium_variant,5yearly,2090,-0.069
914,medium_variant,5yearly,2095,-0.06
914,estimates,5yearly,Regi,Western Africa
914,medium_variant,5yearly,Regi,Western Africa
