region,variant,freq,year,netmigrationrateper1000pop
957,estimates,5yearly,1950,-8.086
957,estimates,5yearly,1955,-10.717
957,estimates,5yearly,1960,-1.911
957,estimates,5yearly,1965,-5.193
957,estimates,5yearly,1970,-11.921
957,estimates,5yearly,1975,-12.662
957,estimates,5yearly,1980,-10.994
957,estimates,5yearly,1985,-12.33
957,estimates,5yearly,1990,-12.361
957,estimates,5yearly,1995,-10.003
957,estimates,5yearly,2000,-9.725
957,estimates,5yearly,2005,-12.484
957,estimates,5yearly,2010,-10.464
957,medium_variant,5yearly,2015,-7.053
957,medium_variant,5yearly,2020,-7.81
957,medium_variant,5yearly,2025,-6.124
957,medium_variant,5yearly,2030,-5.071
957,medium_variant,5yearly,2035,-4.884
957,medium_variant,5yearly,2040,-4.747
957,medium_variant,5yearly,2045,-4.655
957,medium_variant,5yearly,2050,-4.344
957,medium_variant,5yearly,2055,-4.078
957,medium_variant,5yearly,2060,-3.825
957,medium_variant,5yearly,2065,-3.583
957,medium_variant,5yearly,2070,-3.344
957,medium_variant,5yearly,2075,-3.125
957,medium_variant,5yearly,2080,-2.913
957,medium_variant,5yearly,2085,-2.711
957,medium_variant,5yearly,2090,-2.505
957,medium_variant,5yearly,2095,-2.303
