region,variant,freq,year,netmigrationrateper1000pop
5500,estimates,5yearly,1950,8.66
5500,estimates,5yearly,1955,9.992
5500,estimates,5yearly,1960,7.515
5500,estimates,5yearly,1965,4.98
5500,estimates,5yearly,1970,-0.32
5500,estimates,5yearly,1975,-2.079
5500,estimates,5yearly,1980,-3.42
5500,estimates,5yearly,1985,-5.154
5500,estimates,5yearly,1990,-8.697
5500,estimates,5yearly,1995,-7.172
5500,estimates,5yearly,2000,-2.026
5500,estimates,5yearly,2005,-1.273
5500,estimates,5yearly,2010,-0.59
5500,medium_variant,5yearly,2015,-0.756
5500,medium_variant,5yearly,2020,-0.709
5500,medium_variant,5yearly,2025,-0.672
5500,medium_variant,5yearly,2030,-0.644
5500,medium_variant,5yearly,2035,-0.619
5500,medium_variant,5yearly,2040,-0.597
5500,medium_variant,5yearly,2045,-0.578
5500,medium_variant,5yearly,2050,-0.536
5500,medium_variant,5yearly,2055,-0.499
5500,medium_variant,5yearly,2060,-0.465
5500,medium_variant,5yearly,2065,-0.433
5500,medium_variant,5yearly,2070,-0.403
5500,medium_variant,5yearly,2075,-0.375
5500,medium_variant,5yearly,2080,-0.347
5500,medium_variant,5yearly,2085,-0.32
5500,medium_variant,5yearly,2090,-0.294
5500,medium_variant,5yearly,2095,-0.269
