region,variant,freq,year,netmigrationrateper1000pop
913,estimates,5yearly,1950,-0.246
913,estimates,5yearly,1955,-0.355
913,estimates,5yearly,1960,0.535
913,estimates,5yearly,1965,1.322
913,estimates,5yearly,1970,1.402
913,estimates,5yearly,1975,0.174
913,estimates,5yearly,1980,0.624
913,estimates,5yearly,1985,-0.464
913,estimates,5yearly,1990,3.065
913,estimates,5yearly,1995,1.145
913,estimates,5yearly,2000,1.781
913,estimates,5yearly,2005,1.918
913,estimates,5yearly,2010,2.578
913,medium_variant,5yearly,2015,0.863
913,medium_variant,5yearly,2020,0.526
913,medium_variant,5yearly,2025,0.233
913,medium_variant,5yearly,2030,0.223
913,medium_variant,5yearly,2035,0.214
913,medium_variant,5yearly,2040,0.207
913,medium_variant,5yearly,2045,0.201
913,medium_variant,5yearly,2050,0.186
913,medium_variant,5yearly,2055,0.173
913,medium_variant,5yearly,2060,0.16
913,medium_variant,5yearly,2065,0.149
913,medium_variant,5yearly,2070,0.138
913,medium_variant,5yearly,2075,0.128
913,medium_variant,5yearly,2080,0.119
913,medium_variant,5yearly,2085,0.109
913,medium_variant,5yearly,2090,0.1
913,medium_variant,5yearly,2095,0.092
913,estimates,5yearly,Regi,Southern Africa
913,medium_variant,5yearly,Regi,Southern Africa
