region,variant,freq,year,netmigrationrateper1000pop
921,estimates,5yearly,1950,0.216
921,estimates,5yearly,1955,0.264
921,estimates,5yearly,1960,0.165
921,estimates,5yearly,1965,0.01
921,estimates,5yearly,1970,-0.27
921,estimates,5yearly,1975,-0.123
921,estimates,5yearly,1980,-0.258
921,estimates,5yearly,1985,-0.301
921,estimates,5yearly,1990,-0.712
921,estimates,5yearly,1995,-0.673
921,estimates,5yearly,2000,-0.646
921,estimates,5yearly,2005,-1.302
921,estimates,5yearly,2010,-0.793
921,medium_variant,5yearly,2015,-0.77
921,medium_variant,5yearly,2020,-0.563
921,medium_variant,5yearly,2025,-0.53
921,medium_variant,5yearly,2030,-0.508
921,medium_variant,5yearly,2035,-0.491
921,medium_variant,5yearly,2040,-0.478
921,medium_variant,5yearly,2045,-0.468
921,medium_variant,5yearly,2050,-0.438
921,medium_variant,5yearly,2055,-0.411
921,medium_variant,5yearly,2060,-0.386
921,medium_variant,5yearly,2065,-0.364
921,medium_variant,5yearly,2070,-0.343
921,medium_variant,5yearly,2075,-0.323
921,medium_variant,5yearly,2080,-0.303
921,medium_variant,5yearly,2085,-0.284
921,medium_variant,5yearly,2090,-0.264
921,medium_variant,5yearly,2095,-0.244
921,estimates,5yearly,Regi,South-Central Asia
921,medium_variant,5yearly,Regi,South-Central Asia
