region,variant,freq,year,netmigrationrateper1000pop
924,estimates,5yearly,1950,-1.314
924,estimates,5yearly,1955,-0.23
924,estimates,5yearly,1960,0.478
924,estimates,5yearly,1965,0.157
924,estimates,5yearly,1970,0.82
924,estimates,5yearly,1975,0.66
924,estimates,5yearly,1980,0.107
924,estimates,5yearly,1985,0.689
924,estimates,5yearly,1990,0.392
924,estimates,5yearly,1995,1.409
924,estimates,5yearly,2000,2.674
924,estimates,5yearly,2005,5.218
924,estimates,5yearly,2010,2.512
924,medium_variant,5yearly,2015,2.56
924,medium_variant,5yearly,2020,2.434
924,medium_variant,5yearly,2025,2.416
924,medium_variant,5yearly,2030,2.372
924,medium_variant,5yearly,2035,2.333
924,medium_variant,5yearly,2040,2.298
924,medium_variant,5yearly,2045,2.266
924,medium_variant,5yearly,2050,2.126
924,medium_variant,5yearly,2055,1.993
924,medium_variant,5yearly,2060,1.866
924,medium_variant,5yearly,2065,1.742
924,medium_variant,5yearly,2070,1.621
924,medium_variant,5yearly,2075,1.501
924,medium_variant,5yearly,2080,1.385
924,medium_variant,5yearly,2085,1.271
924,medium_variant,5yearly,2090,1.158
924,medium_variant,5yearly,2095,1.048
