region,variant,freq,year,netmigrationrateper1000pop
931,estimates,5yearly,1950,0.887
931,estimates,5yearly,1955,-0.253
931,estimates,5yearly,1960,-0.414
931,estimates,5yearly,1965,-0.478
931,estimates,5yearly,1970,-0.491
931,estimates,5yearly,1975,-0.832
931,estimates,5yearly,1980,-0.457
931,estimates,5yearly,1985,-0.396
931,estimates,5yearly,1990,-0.447
931,estimates,5yearly,1995,-0.651
931,estimates,5yearly,2000,-0.703
931,estimates,5yearly,2005,-0.542
931,estimates,5yearly,2010,-0.281
931,medium_variant,5yearly,2015,-0.211
931,medium_variant,5yearly,2020,-0.169
931,medium_variant,5yearly,2025,-0.13
931,medium_variant,5yearly,2030,-0.134
931,medium_variant,5yearly,2035,-0.131
931,medium_variant,5yearly,2040,-0.129
931,medium_variant,5yearly,2045,-0.128
931,medium_variant,5yearly,2050,-0.121
931,medium_variant,5yearly,2055,-0.114
931,medium_variant,5yearly,2060,-0.108
931,medium_variant,5yearly,2065,-0.102
931,medium_variant,5yearly,2070,-0.097
931,medium_variant,5yearly,2075,-0.091
931,medium_variant,5yearly,2080,-0.086
931,medium_variant,5yearly,2085,-0.081
931,medium_variant,5yearly,2090,-0.076
931,medium_variant,5yearly,2095,-0.07
931,estimates,5yearly,Regi,South America
931,medium_variant,5yearly,Regi,South America
