region,variant,freq,year,netmigrationrateper1000pop
915,estimates,5yearly,1950,-5.062
915,estimates,5yearly,1955,-5.342
915,estimates,5yearly,1960,-6.022
915,estimates,5yearly,1965,-6.589
915,estimates,5yearly,1970,-4.597
915,estimates,5yearly,1975,-4.141
915,estimates,5yearly,1980,-4.639
915,estimates,5yearly,1985,-3.915
915,estimates,5yearly,1990,-3.2
915,estimates,5yearly,1995,-3.213
915,estimates,5yearly,2000,-3.463
915,estimates,5yearly,2005,-3.389
915,estimates,5yearly,2010,-2.763
915,medium_variant,5yearly,2015,-2.771
915,medium_variant,5yearly,2020,-2.406
915,medium_variant,5yearly,2025,-2.089
915,medium_variant,5yearly,2030,-2.014
915,medium_variant,5yearly,2035,-1.945
915,medium_variant,5yearly,2040,-1.932
915,medium_variant,5yearly,2045,-1.93
915,medium_variant,5yearly,2050,-1.84
915,medium_variant,5yearly,2055,-1.758
915,medium_variant,5yearly,2060,-1.681
915,medium_variant,5yearly,2065,-1.607
915,medium_variant,5yearly,2070,-1.534
915,medium_variant,5yearly,2075,-1.461
915,medium_variant,5yearly,2080,-1.387
915,medium_variant,5yearly,2085,-1.311
915,medium_variant,5yearly,2090,-1.232
915,medium_variant,5yearly,2095,-1.149
915,estimates,5yearly,Regi,Caribbean
915,medium_variant,5yearly,Regi,Caribbean
