region,variant,freq,year,netmigrationrateper1000pop
922,estimates,5yearly,1950,1.056
922,estimates,5yearly,1955,1.001
922,estimates,5yearly,1960,0.978
922,estimates,5yearly,1965,0.15
922,estimates,5yearly,1970,0.666
922,estimates,5yearly,1975,0.861
922,estimates,5yearly,1980,1.717
922,estimates,5yearly,1985,-0.03
922,estimates,5yearly,1990,-0.182
922,estimates,5yearly,1995,-0.692
922,estimates,5yearly,2000,1.565
922,estimates,5yearly,2005,6.047
922,estimates,5yearly,2010,3.217
922,medium_variant,5yearly,2015,1.499
922,medium_variant,5yearly,2020,0.584
922,medium_variant,5yearly,2025,0.03
922,medium_variant,5yearly,2030,0.054
922,medium_variant,5yearly,2035,0.031
922,medium_variant,5yearly,2040,0.027
922,medium_variant,5yearly,2045,0.026
922,medium_variant,5yearly,2050,0.024
922,medium_variant,5yearly,2055,0.022
922,medium_variant,5yearly,2060,0.02
922,medium_variant,5yearly,2065,0.018
922,medium_variant,5yearly,2070,0.017
922,medium_variant,5yearly,2075,0.015
922,medium_variant,5yearly,2080,0.014
922,medium_variant,5yearly,2085,0.013
922,medium_variant,5yearly,2090,0.012
922,medium_variant,5yearly,2095,0.01
922,estimates,5yearly,Regi,Western Asia
922,medium_variant,5yearly,Regi,Western Asia
