region,variant,freq,year,netmigrationrateper1000pop
916,estimates,5yearly,1950,-1.411
916,estimates,5yearly,1955,-1.543
916,estimates,5yearly,1960,-1.773
916,estimates,5yearly,1965,-2.379
916,estimates,5yearly,1970,-3.233
916,estimates,5yearly,1975,-3.974
916,estimates,5yearly,1980,-4.493
916,estimates,5yearly,1985,-4.697
916,estimates,5yearly,1990,-3.43
916,estimates,5yearly,1995,-4.807
916,estimates,5yearly,2000,-5.112
916,estimates,5yearly,2005,-0.989
916,estimates,5yearly,2010,-0.823
916,medium_variant,5yearly,2015,-0.689
916,medium_variant,5yearly,2020,-0.565
916,medium_variant,5yearly,2025,-0.448
916,medium_variant,5yearly,2030,-0.425
916,medium_variant,5yearly,2035,-0.388
916,medium_variant,5yearly,2040,-0.37
916,medium_variant,5yearly,2045,-0.359
916,medium_variant,5yearly,2050,-0.334
916,medium_variant,5yearly,2055,-0.313
916,medium_variant,5yearly,2060,-0.293
916,medium_variant,5yearly,2065,-0.275
916,medium_variant,5yearly,2070,-0.259
916,medium_variant,5yearly,2075,-0.243
916,medium_variant,5yearly,2080,-0.228
916,medium_variant,5yearly,2085,-0.213
916,medium_variant,5yearly,2090,-0.198
916,medium_variant,5yearly,2095,-0.184
916,estimates,5yearly,Regi,Central America
916,medium_variant,5yearly,Regi,Central America
