region,variant,freq,year,netmigrationrateper1000pop
927,estimates,5yearly,1950,9.345
927,estimates,5yearly,1955,7.265
927,estimates,5yearly,1960,6.564
927,estimates,5yearly,1965,10.794
927,estimates,5yearly,1970,4.185
927,estimates,5yearly,1975,1.855
927,estimates,5yearly,1980,4.928
927,estimates,5yearly,1985,6.662
927,estimates,5yearly,1990,4.447
927,estimates,5yearly,1995,3.762
927,estimates,5yearly,2000,6.002
927,estimates,5yearly,2005,9.32
927,estimates,5yearly,2010,7.315
927,medium_variant,5yearly,2015,6.305
927,medium_variant,5yearly,2020,5.228
927,medium_variant,5yearly,2025,4.971
927,medium_variant,5yearly,2030,4.752
927,medium_variant,5yearly,2035,4.564
927,medium_variant,5yearly,2040,4.397
927,medium_variant,5yearly,2045,4.246
927,medium_variant,5yearly,2050,3.905
927,medium_variant,5yearly,2055,3.592
927,medium_variant,5yearly,2060,3.302
927,medium_variant,5yearly,2065,3.032
927,medium_variant,5yearly,2070,2.78
927,medium_variant,5yearly,2075,2.542
927,medium_variant,5yearly,2080,2.318
927,medium_variant,5yearly,2085,2.104
927,medium_variant,5yearly,2090,1.9
927,medium_variant,5yearly,2095,1.704
