region,variant,freq,year,netmigrationrateper1000pop
947,estimates,5yearly,1950,-0.206
947,estimates,5yearly,1955,-0.171
947,estimates,5yearly,1960,-0.241
947,estimates,5yearly,1965,-0.183
947,estimates,5yearly,1970,-0.638
947,estimates,5yearly,1975,-0.547
947,estimates,5yearly,1980,-0.678
947,estimates,5yearly,1985,-0.533
947,estimates,5yearly,1990,-0.036
947,estimates,5yearly,1995,-0.27
947,estimates,5yearly,2000,-0.158
947,estimates,5yearly,2005,-0.233
947,estimates,5yearly,2010,-0.323
947,medium_variant,5yearly,2015,-0.284
947,medium_variant,5yearly,2020,-0.27
947,medium_variant,5yearly,2025,-0.265
947,medium_variant,5yearly,2030,-0.24
947,medium_variant,5yearly,2035,-0.215
947,medium_variant,5yearly,2040,-0.194
947,medium_variant,5yearly,2045,-0.176
947,medium_variant,5yearly,2050,-0.152
947,medium_variant,5yearly,2055,-0.132
947,medium_variant,5yearly,2060,-0.116
947,medium_variant,5yearly,2065,-0.101
947,medium_variant,5yearly,2070,-0.089
947,medium_variant,5yearly,2075,-0.078
947,medium_variant,5yearly,2080,-0.069
947,medium_variant,5yearly,2085,-0.06
947,medium_variant,5yearly,2090,-0.053
947,medium_variant,5yearly,2095,-0.046
