region,variant,freq,year,netmigrationrateper1000pop
5501,estimates,5yearly,1950,-0.094
5501,estimates,5yearly,1955,-0.121
5501,estimates,5yearly,1960,-0.147
5501,estimates,5yearly,1965,-0.21
5501,estimates,5yearly,1970,-0.268
5501,estimates,5yearly,1975,-0.036
5501,estimates,5yearly,1980,-0.121
5501,estimates,5yearly,1985,-0.094
5501,estimates,5yearly,1990,-0.381
5501,estimates,5yearly,1995,-0.417
5501,estimates,5yearly,2000,-0.594
5501,estimates,5yearly,2005,-1.304
5501,estimates,5yearly,2010,-0.801
5501,medium_variant,5yearly,2015,-0.77
5501,medium_variant,5yearly,2020,-0.558
5501,medium_variant,5yearly,2025,-0.524
5501,medium_variant,5yearly,2030,-0.503
5501,medium_variant,5yearly,2035,-0.487
5501,medium_variant,5yearly,2040,-0.474
5501,medium_variant,5yearly,2045,-0.464
5501,medium_variant,5yearly,2050,-0.434
5501,medium_variant,5yearly,2055,-0.407
5501,medium_variant,5yearly,2060,-0.383
5501,medium_variant,5yearly,2065,-0.361
5501,medium_variant,5yearly,2070,-0.34
5501,medium_variant,5yearly,2075,-0.32
5501,medium_variant,5yearly,2080,-0.301
5501,medium_variant,5yearly,2085,-0.282
5501,medium_variant,5yearly,2090,-0.263
5501,medium_variant,5yearly,2095,-0.243
5501,estimates,5yearly,Regi,Southern Asia
5501,medium_variant,5yearly,Regi,Southern Asia
