age5yearinterval,is--age5yearinterval
0,TRUE
1,TRUE
5,TRUE
10,TRUE
15,TRUE
20,TRUE
25,TRUE
30,TRUE
35,TRUE
40,TRUE
45,TRUE
50,TRUE
55,TRUE
60,TRUE
65,TRUE
70,TRUE
75,TRUE
80,TRUE
85,TRUE
90,TRUE
95,TRUE
0_4,TRUE
10_14,TRUE
100plus,TRUE
15_19,TRUE
20_24,TRUE
25_29,TRUE
30_34,TRUE
35_39,TRUE
40_44,TRUE
45_49,TRUE
5_9,TRUE
50_54,TRUE
55_59,TRUE
60_64,TRUE
65_69,TRUE
70_74,TRUE
75_79,TRUE
80plus,TRUE
80_84,TRUE
85_89,TRUE
90_94,TRUE
95plus,TRUE
95_99,TRUE
"Region, subregion, country or area *",TRUE
