country,year,variant,freq,age5yearinterval,noofbirthbymother
807,1950,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1950,estimates,5yearly,15_19,9.602
807,1950,estimates,5yearly,20_24,69.136
807,1950,estimates,5yearly,25_29,75.311
807,1950,estimates,5yearly,30_34,47.32
807,1950,estimates,5yearly,35_39,24.943
807,1950,estimates,5yearly,40_44,12.746
807,1950,estimates,5yearly,45_49,3.987
807,1955,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1955,estimates,5yearly,15_19,11.984
807,1955,estimates,5yearly,20_24,67.962
807,1955,estimates,5yearly,25_29,71.621
807,1955,estimates,5yearly,30_34,43.955
807,1955,estimates,5yearly,35_39,21.85
807,1955,estimates,5yearly,40_44,8.192
807,1955,estimates,5yearly,45_49,1.719
807,1960,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1960,estimates,5yearly,15_19,14.052
807,1960,estimates,5yearly,20_24,69.584
807,1960,estimates,5yearly,25_29,71.093
807,1960,estimates,5yearly,30_34,39.514
807,1960,estimates,5yearly,35_39,17.541
807,1960,estimates,5yearly,40_44,5.203
807,1960,estimates,5yearly,45_49,1.518
807,1965,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1965,estimates,5yearly,15_19,19.635
807,1965,estimates,5yearly,20_24,76.283
807,1965,estimates,5yearly,25_29,69.009
807,1965,estimates,5yearly,30_34,36.422
807,1965,estimates,5yearly,35_39,16.37
807,1965,estimates,5yearly,40_44,5.587
807,1965,estimates,5yearly,45_49,0.571
807,1970,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1970,estimates,5yearly,15_19,21.21
807,1970,estimates,5yearly,20_24,79.593
807,1970,estimates,5yearly,25_29,58.481
807,1970,estimates,5yearly,30_34,28.973
807,1970,estimates,5yearly,35_39,13.0
807,1970,estimates,5yearly,40_44,3.958
807,1970,estimates,5yearly,45_49,0.549
807,1975,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1975,estimates,5yearly,15_19,21.892
807,1975,estimates,5yearly,20_24,79.988
807,1975,estimates,5yearly,25_29,60.547
807,1975,estimates,5yearly,30_34,24.889
807,1975,estimates,5yearly,35_39,10.197
807,1975,estimates,5yearly,40_44,3.006
807,1975,estimates,5yearly,45_49,0.311
807,1980,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1980,estimates,5yearly,15_19,22.676
807,1980,estimates,5yearly,20_24,79.07
807,1980,estimates,5yearly,25_29,64.011
807,1980,estimates,5yearly,30_34,26.759
807,1980,estimates,5yearly,35_39,7.961
807,1980,estimates,5yearly,40_44,1.954
807,1980,estimates,5yearly,45_49,0.146
807,1985,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1985,estimates,5yearly,15_19,21.058
807,1985,estimates,5yearly,20_24,73.523
807,1985,estimates,5yearly,25_29,57.382
807,1985,estimates,5yearly,30_34,24.997
807,1985,estimates,5yearly,35_39,7.348
807,1985,estimates,5yearly,40_44,1.328
807,1985,estimates,5yearly,45_49,0.223
807,1990,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1990,estimates,5yearly,15_19,17.441
807,1990,estimates,5yearly,20_24,65.315
807,1990,estimates,5yearly,25_29,52.925
807,1990,estimates,5yearly,30_34,21.747
807,1990,estimates,5yearly,35_39,6.955
807,1990,estimates,5yearly,40_44,1.144
807,1990,estimates,5yearly,45_49,0.072
807,1995,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,1995,estimates,5yearly,15_19,14.18
807,1995,estimates,5yearly,20_24,51.386
807,1995,estimates,5yearly,25_29,45.452
807,1995,estimates,5yearly,30_34,20.64
807,1995,estimates,5yearly,35_39,6.159
807,1995,estimates,5yearly,40_44,1.169
807,1995,estimates,5yearly,45_49,0.09
807,2000,estimates,5yearly,"Region, subregion, country or area *",TFYR Macedonia
807,2000,estimates,5yearly,15_19,9.74
807,2000,estimates,5yearly,20_24,43.132
807,2000,estimates,5yearly,25_29,44.091
807,2000,estimates,5yearly,30_34,21.926
807,2000,estimates,5yearly,35_39,6.499
807,2000,estimates,5yearly,40_44,1.289
