country,variant,freq,year,totalfertility
364,estimates,5yearly,1950,6.9086
364,estimates,5yearly,1955,6.9086
364,estimates,5yearly,1960,6.9086
364,estimates,5yearly,1965,6.6802
364,estimates,5yearly,1970,6.2407
364,estimates,5yearly,1975,6.2799
364,estimates,5yearly,1980,6.5339
364,estimates,5yearly,1985,5.62
364,estimates,5yearly,1990,3.95
364,estimates,5yearly,1995,2.634
364,estimates,5yearly,2000,1.9666
364,estimates,5yearly,2005,1.7946
364,estimates,5yearly,2010,1.7453
364,constant_fertility,5yearly,2015,1.7453
364,constant_mortality,5yearly,2015,1.6215
364,high_variant,5yearly,2015,1.8715
364,instant_replacement,5yearly,2015,2.094875
364,low_variant,5yearly,2015,1.3715
364,medium_variant,5yearly,2015,1.6215
364,momentum,5yearly,2015,2.10504
364,no_change,5yearly,2015,1.7453
364,zero_migration,5yearly,2015,1.6215
364,constant_fertility,5yearly,2020,1.7453
364,constant_mortality,5yearly,2020,1.53
364,high_variant,5yearly,2020,1.93
364,instant_replacement,5yearly,2020,2.087675
364,low_variant,5yearly,2020,1.13
364,medium_variant,5yearly,2020,1.53
364,momentum,5yearly,2020,2.105345
364,no_change,5yearly,2020,1.7453
364,zero_migration,5yearly,2020,1.53
364,constant_fertility,5yearly,2025,1.7453
364,constant_mortality,5yearly,2025,1.4981
364,high_variant,5yearly,2025,1.9981
364,instant_replacement,5yearly,2025,2.082155
364,low_variant,5yearly,2025,0.9981
364,medium_variant,5yearly,2025,1.4981
364,momentum,5yearly,2025,2.105575
364,no_change,5yearly,2025,1.7453
364,zero_migration,5yearly,2025,1.4981
364,constant_fertility,5yearly,2030,1.7453
364,constant_mortality,5yearly,2030,1.519
364,high_variant,5yearly,2030,2.019
364,instant_replacement,5yearly,2030,2.078535
364,low_variant,5yearly,2030,1.019
364,medium_variant,5yearly,2030,1.519
364,momentum,5yearly,2030,2.105785
364,no_change,5yearly,2030,1.7453
364,zero_migration,5yearly,2030,1.519
364,constant_fertility,5yearly,2035,1.7453
364,constant_mortality,5yearly,2035,1.5544
364,high_variant,5yearly,2035,2.0544
364,instant_replacement,5yearly,2035,2.07553
364,low_variant,5yearly,2035,1.0544
364,medium_variant,5yearly,2035,1.5544
364,momentum,5yearly,2035,2.10597
364,no_change,5yearly,2035,1.7453
364,zero_migration,5yearly,2035,1.5544
364,constant_fertility,5yearly,2040,1.7453
364,constant_mortality,5yearly,2040,1.591
364,high_variant,5yearly,2040,2.091
364,instant_replacement,5yearly,2040,2.073105
364,low_variant,5yearly,2040,1.091
364,medium_variant,5yearly,2040,1.591
364,momentum,5yearly,2040,2.10613
364,no_change,5yearly,2040,1.7453
364,zero_migration,5yearly,2040,1.591
364,constant_fertility,5yearly,2045,1.7453
364,constant_mortality,5yearly,2045,1.6203
364,high_variant,5yearly,2045,2.1203
364,instant_replacement,5yearly,2045,2.070965
364,low_variant,5yearly,2045,1.1203
364,medium_variant,5yearly,2045,1.6203
364,momentum,5yearly,2045,2.10628
364,no_change,5yearly,2045,1.7453
364,zero_migration,5yearly,2045,1.6203
364,constant_fertility,5yearly,2050,1.7453
364,constant_mortality,5yearly,2050,1.6465
364,high_variant,5yearly,2050,2.1465
364,instant_replacement,5yearly,2050,2.069195
364,low_variant,5yearly,2050,1.1465
364,medium_variant,5yearly,2050,1.6465
364,momentum,5yearly,2050,2.106415
364,no_change,5yearly,2050,1.7453
364,zero_migration,5yearly,2050,1.6465
364,constant_fertility,5yearly,2055,1.7453
364,constant_mortality,5yearly,2055,1.6698
364,high_variant,5yearly,2055,2.1698
364,instant_replacement,5yearly,2055,2.067595
364,low_variant,5yearly,2055,1.1698
364,medium_variant,5yearly,2055,1.6698
364,momentum,5yearly,2055,2.106535
364,no_change,5yearly,2055,1.7453
364,zero_migration,5yearly,2055,1.6698
364,constant_fertility,5yearly,2060,1.7453
364,constant_mortality,5yearly,2060,1.6911
364,high_variant,5yearly,2060,2.1911
364,instant_replacement,5yearly,2060,2.06623
364,low_variant,5yearly,2060,1.1911
364,medium_variant,5yearly,2060,1.6911
364,momentum,5yearly,2060,2.106635
364,no_change,5yearly,2060,1.7453
364,zero_migration,5yearly,2060,1.6911
364,constant_fertility,5yearly,2065,1.7453
364,constant_mortality,5yearly,2065,1.7092
364,high_variant,5yearly,2065,2.2092
364,instant_replacement,5yearly,2065,2.0651
364,low_variant,5yearly,2065,1.2092
364,medium_variant,5yearly,2065,1.7092
364,momentum,5yearly,2065,2.106725
364,no_change,5yearly,2065,1.7453
364,zero_migration,5yearly,2065,1.7092
364,constant_fertility,5yearly,2070,1.7453
364,constant_mortality,5yearly,2070,1.7261
364,high_variant,5yearly,2070,2.2261
364,instant_replacement,5yearly,2070,2.064125
364,low_variant,5yearly,2070,1.2261
364,medium_variant,5yearly,2070,1.7261
364,momentum,5yearly,2070,2.1068
364,no_change,5yearly,2070,1.7453
364,zero_migration,5yearly,2070,1.7261
364,constant_fertility,5yearly,2075,1.7453
364,constant_mortality,5yearly,2075,1.7398
364,high_variant,5yearly,2075,2.2398
364,instant_replacement,5yearly,2075,2.063205
364,low_variant,5yearly,2075,1.2398
364,medium_variant,5yearly,2075,1.7398
364,momentum,5yearly,2075,2.106875
364,no_change,5yearly,2075,1.7453
364,zero_migration,5yearly,2075,1.7398
364,constant_fertility,5yearly,2080,1.7453
364,constant_mortality,5yearly,2080,1.7528
364,high_variant,5yearly,2080,2.2528
364,instant_replacement,5yearly,2080,2.06236
364,low_variant,5yearly,2080,1.2528
364,medium_variant,5yearly,2080,1.7528
364,momentum,5yearly,2080,2.10693
364,no_change,5yearly,2080,1.7453
