country,variant,freq,year,totalfertility
566,estimates,5yearly,1950,6.3544
566,estimates,5yearly,1955,6.3544
566,estimates,5yearly,1960,6.3544
566,estimates,5yearly,1965,6.3544
566,estimates,5yearly,1970,6.6094
566,estimates,5yearly,1975,6.7629
566,estimates,5yearly,1980,6.7559
566,estimates,5yearly,1985,6.6035
566,estimates,5yearly,1990,6.3697
566,estimates,5yearly,1995,6.1703
566,estimates,5yearly,2000,6.0512
566,estimates,5yearly,2005,5.91
566,estimates,5yearly,2010,5.74
566,constant_fertility,5yearly,2015,5.74
566,constant_mortality,5yearly,2015,5.4168
566,high_variant,5yearly,2015,5.6668
566,instant_replacement,5yearly,2015,2.616675
566,low_variant,5yearly,2015,5.1668
566,medium_variant,5yearly,2015,5.4168
566,momentum,5yearly,2015,2.711045
566,no_change,5yearly,2015,5.74
566,zero_migration,5yearly,2015,5.4168
566,constant_fertility,5yearly,2020,5.74
566,constant_mortality,5yearly,2020,5.079
566,high_variant,5yearly,2020,5.479
566,instant_replacement,5yearly,2020,2.527315
566,low_variant,5yearly,2020,4.679
566,medium_variant,5yearly,2020,5.079
566,momentum,5yearly,2020,2.711095
566,no_change,5yearly,2020,5.74
566,zero_migration,5yearly,2020,5.079
566,constant_fertility,5yearly,2025,5.74
566,constant_mortality,5yearly,2025,4.7406
566,high_variant,5yearly,2025,5.2406
566,instant_replacement,5yearly,2025,2.44833
566,low_variant,5yearly,2025,4.2406
566,medium_variant,5yearly,2025,4.7406
566,momentum,5yearly,2025,2.711185
566,no_change,5yearly,2025,5.74
566,zero_migration,5yearly,2025,4.7406
566,constant_fertility,5yearly,2030,5.74
566,constant_mortality,5yearly,2030,4.4124
566,high_variant,5yearly,2030,4.9124
566,instant_replacement,5yearly,2030,2.383735
566,low_variant,5yearly,2030,3.9124
566,medium_variant,5yearly,2030,4.4124
566,momentum,5yearly,2030,2.71128
566,no_change,5yearly,2030,5.74
566,zero_migration,5yearly,2030,4.4124
566,constant_fertility,5yearly,2035,5.74
566,constant_mortality,5yearly,2035,4.1018
566,high_variant,5yearly,2035,4.6018
566,instant_replacement,5yearly,2035,2.328765
566,low_variant,5yearly,2035,3.6018
566,medium_variant,5yearly,2035,4.1018
566,momentum,5yearly,2035,2.71141
566,no_change,5yearly,2035,5.74
566,zero_migration,5yearly,2035,4.1018
566,constant_fertility,5yearly,2040,5.74
566,constant_mortality,5yearly,2040,3.8148
566,high_variant,5yearly,2040,4.3148
566,instant_replacement,5yearly,2040,2.279775
566,low_variant,5yearly,2040,3.3148
566,medium_variant,5yearly,2040,3.8148
566,momentum,5yearly,2040,2.71157
566,no_change,5yearly,2040,5.74
566,zero_migration,5yearly,2040,3.8148
566,constant_fertility,5yearly,2045,5.74
566,constant_mortality,5yearly,2045,3.5542
566,high_variant,5yearly,2045,4.0542
566,instant_replacement,5yearly,2045,2.23992
566,low_variant,5yearly,2045,3.0542
566,medium_variant,5yearly,2045,3.5542
566,momentum,5yearly,2045,2.711785
566,no_change,5yearly,2045,5.74
566,zero_migration,5yearly,2045,3.5542
566,constant_fertility,5yearly,2050,5.74
566,constant_mortality,5yearly,2050,3.3235
566,high_variant,5yearly,2050,3.8235
566,instant_replacement,5yearly,2050,2.207125
566,low_variant,5yearly,2050,2.8235
566,medium_variant,5yearly,2050,3.3235
566,momentum,5yearly,2050,2.712
566,no_change,5yearly,2050,5.74
566,zero_migration,5yearly,2050,3.3235
