country,variant,freq,year,birthper1000population
862,estimates,5yearly,1950,46.088
862,estimates,5yearly,1955,45.865
862,estimates,5yearly,1960,46.216
862,estimates,5yearly,1965,40.578
862,estimates,5yearly,1970,34.824
862,estimates,5yearly,1975,33.452
862,estimates,5yearly,1980,31.785
862,estimates,5yearly,1985,30.526
862,estimates,5yearly,1990,27.366
862,estimates,5yearly,1995,24.761
862,estimates,5yearly,2000,22.964
862,estimates,5yearly,2005,21.5
862,estimates,5yearly,2010,20.066
862,constant_fertility,5yearly,2015,19.512
862,constant_mortality,5yearly,2015,18.604
862,high_variant,5yearly,2015,20.524
862,instant_replacement,5yearly,2015,17.103
862,low_variant,5yearly,2015,16.639
862,medium_variant,5yearly,2015,18.591
862,momentum,5yearly,2015,17.165
862,no_change,5yearly,2015,19.526
862,zero_migration,5yearly,2015,18.603
862,constant_fertility,5yearly,2020,18.826
862,constant_mortality,5yearly,2020,17.238
862,high_variant,5yearly,2020,20.009
862,instant_replacement,5yearly,2020,16.659
862,low_variant,5yearly,2020,14.275
862,medium_variant,5yearly,2020,17.192
862,momentum,5yearly,2020,16.799
862,no_change,5yearly,2020,18.877
862,zero_migration,5yearly,2020,17.22
862,constant_fertility,5yearly,2025,18.125
862,constant_mortality,5yearly,2025,16.086
862,high_variant,5yearly,2025,19.193
862,instant_replacement,5yearly,2025,16.18
862,low_variant,5yearly,2025,12.568
862,medium_variant,5yearly,2025,15.991
862,momentum,5yearly,2025,16.387
862,no_change,5yearly,2025,18.232
862,zero_migration,5yearly,2025,16.017
862,constant_fertility,5yearly,2030,17.502
862,constant_mortality,5yearly,2030,15.086
862,high_variant,5yearly,2030,17.939
862,instant_replacement,5yearly,2030,15.567
862,low_variant,5yearly,2030,11.677
862,medium_variant,5yearly,2030,14.932
862,momentum,5yearly,2030,15.844
862,no_change,5yearly,2030,17.68
862,zero_migration,5yearly,2030,14.947
862,constant_fertility,5yearly,2035,17.035
862,constant_mortality,5yearly,2035,14.251
862,high_variant,5yearly,2035,17.173
862,instant_replacement,5yearly,2035,14.837
862,low_variant,5yearly,2035,10.717
862,medium_variant,5yearly,2035,14.03
862,momentum,5yearly,2035,15.196
862,no_change,5yearly,2035,17.294
862,zero_migration,5yearly,2035,14.039
862,constant_fertility,5yearly,2040,16.693
862,constant_mortality,5yearly,2040,13.554
862,high_variant,5yearly,2040,16.724
862,instant_replacement,5yearly,2040,14.186
862,low_variant,5yearly,2040,9.745
862,medium_variant,5yearly,2040,13.261
862,momentum,5yearly,2040,14.642
862,no_change,5yearly,2040,17.043
862,zero_migration,5yearly,2040,13.268
862,constant_fertility,5yearly,2045,16.408
862,constant_mortality,5yearly,2045,12.933
862,high_variant,5yearly,2045,16.351
862,instant_replacement,5yearly,2045,13.681
862,low_variant,5yearly,2045,8.814
862,medium_variant,5yearly,2045,12.562
862,momentum,5yearly,2045,14.248
862,no_change,5yearly,2045,16.859
862,zero_migration,5yearly,2045,12.572
862,constant_fertility,5yearly,2050,16.151
862,constant_mortality,5yearly,2050,12.423
862,high_variant,5yearly,2050,15.981
862,instant_replacement,5yearly,2050,13.316
862,low_variant,5yearly,2050,8.038
862,medium_variant,5yearly,2050,11.968
862,momentum,5yearly,2050,14.004
862,no_change,5yearly,2050,16.711
862,zero_migration,5yearly,2050,11.981
862,constant_fertility,5yearly,2055,15.924
862,constant_mortality,5yearly,2055,12.001
862,high_variant,5yearly,2055,15.561
862,instant_replacement,5yearly,2055,13.062
862,low_variant,5yearly,2055,7.437
862,medium_variant,5yearly,2055,11.455
862,momentum,5yearly,2055,13.879
862,no_change,5yearly,2055,16.599
862,zero_migration,5yearly,2055,11.469
862,constant_fertility,5yearly,2060,15.734
862,constant_mortality,5yearly,2060,11.672
862,high_variant,5yearly,2060,15.149
862,instant_replacement,5yearly,2060,12.836
862,low_variant,5yearly,2060,6.996
862,medium_variant,5yearly,2060,11.029
862,momentum,5yearly,2060,13.785
862,no_change,5yearly,2060,16.528
862,zero_migration,5yearly,2060,11.042
862,constant_fertility,5yearly,2065,15.579
862,constant_mortality,5yearly,2065,11.417
862,high_variant,5yearly,2065,14.813
862,instant_replacement,5yearly,2065,12.595
862,low_variant,5yearly,2065,6.643
862,medium_variant,5yearly,2065,10.671
862,momentum,5yearly,2065,13.673
862,no_change,5yearly,2065,16.492
862,zero_migration,5yearly,2065,10.683
862,constant_fertility,5yearly,2070,15.45
862,constant_mortality,5yearly,2070,11.216
862,high_variant,5yearly,2070,14.575
862,instant_replacement,5yearly,2070,12.361
862,low_variant,5yearly,2070,6.319
862,medium_variant,5yearly,2070,10.367
862,momentum,5yearly,2070,13.568
862,no_change,5yearly,2070,16.478
862,zero_migration,5yearly,2070,10.379
862,constant_fertility,5yearly,2075,15.339
862,constant_mortality,5yearly,2075,11.06
862,high_variant,5yearly,2075,14.398
862,instant_replacement,5yearly,2075,12.173
862,low_variant,5yearly,2075,6.02
862,medium_variant,5yearly,2075,10.11
862,momentum,5yearly,2075,13.505
862,no_change,5yearly,2075,16.474
862,zero_migration,5yearly,2075,10.122
862,constant_fertility,5yearly,2080,15.241
862,constant_mortality,5yearly,2080,10.948
862,high_variant,5yearly,2080,14.237
862,instant_replacement,5yearly,2080,12.041
862,low_variant,5yearly,2080,5.77
862,medium_variant,5yearly,2080,9.899
862,momentum,5yearly,2080,13.493
862,no_change,5yearly,2080,16.473
862,zero_migration,5yearly,2080,9.913
862,constant_fertility,5yearly,2085,15.151
862,constant_mortality,5yearly,2085,10.861
862,high_variant,5yearly,2085,14.054
862,instant_replacement,5yearly,2085,11.949
862,low_variant,5yearly,2085,5.576
862,medium_variant,5yearly,2085,9.717
862,momentum,5yearly,2085,13.513
862,no_change,5yearly,2085,16.472
862,zero_migration,5yearly,2085,9.731
862,constant_fertility,5yearly,2090,15.067
862,constant_mortality,5yearly,2090,10.817
862,high_variant,5yearly,2090,13.879
862,instant_replacement,5yearly,2090,11.869
862,low_variant,5yearly,2090,5.452
862,medium_variant,5yearly,2090,9.577
862,momentum,5yearly,2090,13.534
862,no_change,5yearly,2090,16.472
862,zero_migration,5yearly,2090,9.592
862,constant_fertility,5yearly,2095,14.986
862,constant_mortality,5yearly,2095,10.804
862,high_variant,5yearly,2095,13.732
862,instant_replacement,5yearly,2095,11.782
862,low_variant,5yearly,2095,5.377
862,medium_variant,5yearly,2095,9.471
862,momentum,5yearly,2095,13.535
862,no_change,5yearly,2095,16.472
862,zero_migration,5yearly,2095,9.485
