region,variant,gender,freq,year,lifeexpectancyat80
1502,estimates,female,5yearly,1950,4.89935374089754
1502,estimates,male,5yearly,1950,4.25805932161327
1502,estimates,female,5yearly,1955,4.71270342090174
1502,estimates,male,5yearly,1955,4.07592232235434
1502,estimates,female,5yearly,1960,5.32023142822571
1502,estimates,male,5yearly,1960,4.63295136143207
1502,estimates,female,5yearly,1965,5.8473411487381
1502,estimates,male,5yearly,1965,5.25057723716196
1502,estimates,female,5yearly,1970,5.94855617493579
1502,estimates,male,5yearly,1970,5.29291128045504
1502,estimates,female,5yearly,1975,6.11840424719577
1502,estimates,male,5yearly,1975,5.25521133682945
1502,estimates,female,5yearly,1980,6.2620574272523
1502,estimates,male,5yearly,1980,5.35896965029132
1502,estimates,female,5yearly,1985,6.4886379533192
1502,estimates,male,5yearly,1985,5.45771649501047
1502,estimates,female,5yearly,1990,6.64527697019963
1502,estimates,male,5yearly,1990,5.6959819511502
1502,estimates,female,5yearly,1995,6.78052863996101
1502,estimates,male,5yearly,1995,5.86987779902668
1502,estimates,female,5yearly,2000,7.0669599307493
1502,estimates,male,5yearly,2000,6.17633415419833
1502,estimates,female,5yearly,2005,7.48663416013212
1502,estimates,male,5yearly,2005,6.44327504655698
1502,estimates,female,5yearly,2010,7.81462740761917
1502,estimates,male,5yearly,2010,6.75304263107675
1502,medium_variant,female,5yearly,2015,8.12774419719964
1502,medium_variant,male,5yearly,2015,6.97905553699715
1502,medium_variant,female,5yearly,2020,8.42597820695262
1502,medium_variant,male,5yearly,2020,7.19908453193258
1502,medium_variant,female,5yearly,2025,8.71217558111038
1502,medium_variant,male,5yearly,2025,7.42899864056487
1502,medium_variant,female,5yearly,2030,9.03274266640331
1502,medium_variant,male,5yearly,2030,7.66067403921171
1502,medium_variant,female,5yearly,2035,9.32101959301928
1502,medium_variant,male,5yearly,2035,7.90362148914471
1502,medium_variant,female,5yearly,2040,9.60924690438115
1502,medium_variant,male,5yearly,2040,8.19359616417379
1502,medium_variant,female,5yearly,2045,9.90760774621651
1502,medium_variant,male,5yearly,2045,8.51174503362779
1502,medium_variant,female,5yearly,2050,10.2060219117961
1502,medium_variant,male,5yearly,2050,8.85006227730536
1502,medium_variant,female,5yearly,2055,10.5118965752477
1502,medium_variant,male,5yearly,2055,9.19280475912688
1502,medium_variant,female,5yearly,2060,10.8133090660277
1502,medium_variant,male,5yearly,2060,9.53467908737537
1502,medium_variant,female,5yearly,2065,11.116141464476
1502,medium_variant,male,5yearly,2065,9.8564721255262
1502,medium_variant,female,5yearly,2070,11.40531436143
1502,medium_variant,male,5yearly,2070,10.1539166329357
1502,medium_variant,female,5yearly,2075,11.7010078096994
1502,medium_variant,male,5yearly,2075,10.4304861228309
1502,medium_variant,female,5yearly,2080,12.0363131534197
1502,medium_variant,male,5yearly,2080,10.6871411541064
1502,medium_variant,female,5yearly,2085,12.3578684476855
1502,medium_variant,male,5yearly,2085,10.9310018996232
1502,medium_variant,female,5yearly,2090,12.6554184112835
1502,medium_variant,male,5yearly,2090,11.1527431546053
1502,medium_variant,female,5yearly,2095,12.906015255341
1502,medium_variant,male,5yearly,2095,11.3873001550936
1502,estimates,female,5yearly,Regi,Upper-middle-income countries
1502,estimates,male,5yearly,Regi,Upper-middle-income countries
1502,medium_variant,female,5yearly,Regi,Upper-middle-income countries
1502,medium_variant,male,5yearly,Regi,Upper-middle-income countries
