country,variant,freq,year,netreporductionrate
834,estimates,5yearly,1950,2.076
834,estimates,5yearly,1955,2.168
834,estimates,5yearly,1960,2.22
834,estimates,5yearly,1965,2.276
834,estimates,5yearly,1970,2.337
834,estimates,5yearly,1975,2.419
834,estimates,5yearly,1980,2.385
834,estimates,5yearly,1985,2.343
834,estimates,5yearly,1990,2.22
834,estimates,5yearly,1995,2.161
834,estimates,5yearly,2000,2.272
834,estimates,5yearly,2005,2.358
834,estimates,5yearly,2010,2.296
834,constant_fertility,5yearly,2015,2.359
834,constant_mortality,5yearly,2015,2.16
834,high_variant,5yearly,2015,2.331
834,instant_replacement,5yearly,2015,1
834,low_variant,5yearly,2015,2.106
834,medium_variant,5yearly,2015,2.218
834,momentum,5yearly,2015,1
834,no_change,5yearly,2015,2.296
834,zero_migration,5yearly,2015,2.218
834,constant_fertility,5yearly,2020,2.388
834,constant_mortality,5yearly,2020,2.03
834,high_variant,5yearly,2020,2.292
834,instant_replacement,5yearly,2020,1
834,low_variant,5yearly,2020,1.927
834,medium_variant,5yearly,2020,2.11
834,momentum,5yearly,2020,1
834,no_change,5yearly,2020,2.296
834,zero_migration,5yearly,2020,2.11
834,constant_fertility,5yearly,2025,2.411
834,constant_mortality,5yearly,2025,1.909
834,high_variant,5yearly,2025,2.232
834,instant_replacement,5yearly,2025,1
834,low_variant,5yearly,2025,1.771
834,medium_variant,5yearly,2025,2.001
834,momentum,5yearly,2025,1
834,no_change,5yearly,2025,2.296
834,zero_migration,5yearly,2025,2.001
834,constant_fertility,5yearly,2030,2.432
834,constant_mortality,5yearly,2030,1.795
834,high_variant,5yearly,2030,2.129
834,instant_replacement,5yearly,2030,1
834,low_variant,5yearly,2030,1.665
834,medium_variant,5yearly,2030,1.897
834,momentum,5yearly,2030,1
834,no_change,5yearly,2030,2.296
834,zero_migration,5yearly,2030,1.897
834,constant_fertility,5yearly,2035,2.45
834,constant_mortality,5yearly,2035,1.689
834,high_variant,5yearly,2035,2.032
834,instant_replacement,5yearly,2035,1
834,low_variant,5yearly,2035,1.564
834,medium_variant,5yearly,2035,1.798
834,momentum,5yearly,2035,1
834,no_change,5yearly,2035,2.296
834,zero_migration,5yearly,2035,1.798
834,constant_fertility,5yearly,2040,2.464
834,constant_mortality,5yearly,2040,1.597
834,high_variant,5yearly,2040,1.944
834,instant_replacement,5yearly,2040,1
834,low_variant,5yearly,2040,1.473
834,medium_variant,5yearly,2040,1.708
834,momentum,5yearly,2040,1
834,no_change,5yearly,2040,2.296
834,zero_migration,5yearly,2040,1.708
834,constant_fertility,5yearly,2045,2.473
834,constant_mortality,5yearly,2045,1.513
834,high_variant,5yearly,2045,1.86
834,instant_replacement,5yearly,2045,1
834,low_variant,5yearly,2045,1.388
834,medium_variant,5yearly,2045,1.624
834,momentum,5yearly,2045,1
834,no_change,5yearly,2045,2.296
834,zero_migration,5yearly,2045,1.624
834,constant_fertility,5yearly,2050,2.481
834,constant_mortality,5yearly,2050,1.439
