country,variant,freq,year,netreporductionrate
792,estimates,5yearly,1950,2.083
792,estimates,5yearly,1955,2.109
792,estimates,5yearly,1960,2.12
792,estimates,5yearly,1965,2.084
792,estimates,5yearly,1970,2.028
792,estimates,5yearly,1975,1.852
792,estimates,5yearly,1980,1.696
792,estimates,5yearly,1985,1.441
792,estimates,5yearly,1990,1.268
792,estimates,5yearly,1995,1.198
792,estimates,5yearly,2000,1.097
792,estimates,5yearly,2005,1.033
792,estimates,5yearly,2010,1
792,constant_fertility,5yearly,2015,1.006
792,constant_mortality,5yearly,2015,0.955
792,high_variant,5yearly,2015,1.078
792,instant_replacement,5yearly,2015,1
792,low_variant,5yearly,2015,0.841
792,medium_variant,5yearly,2015,0.96
792,momentum,5yearly,2015,1
792,no_change,5yearly,2015,1
792,zero_migration,5yearly,2015,0.96
792,constant_fertility,5yearly,2020,1.01
792,constant_mortality,5yearly,2020,0.916
792,high_variant,5yearly,2020,1.115
792,instant_replacement,5yearly,2020,1
792,low_variant,5yearly,2020,0.734
792,medium_variant,5yearly,2020,0.925
792,momentum,5yearly,2020,1
792,no_change,5yearly,2020,1
792,zero_migration,5yearly,2020,0.925
792,constant_fertility,5yearly,2025,1.014
792,constant_mortality,5yearly,2025,0.884
792,high_variant,5yearly,2025,1.135
792,instant_replacement,5yearly,2025,1
792,low_variant,5yearly,2025,0.657
792,medium_variant,5yearly,2025,0.896
792,momentum,5yearly,2025,1
792,no_change,5yearly,2025,1
792,zero_migration,5yearly,2025,0.896
792,constant_fertility,5yearly,2030,1.017
792,constant_mortality,5yearly,2030,0.86
792,high_variant,5yearly,2030,1.114
792,instant_replacement,5yearly,2030,1
792,low_variant,5yearly,2030,0.635
792,medium_variant,5yearly,2030,0.875
792,momentum,5yearly,2030,1
792,no_change,5yearly,2030,1
792,zero_migration,5yearly,2030,0.875
792,constant_fertility,5yearly,2035,1.019
792,constant_mortality,5yearly,2035,0.843
792,high_variant,5yearly,2035,1.099
792,instant_replacement,5yearly,2035,1
792,low_variant,5yearly,2035,0.619
792,medium_variant,5yearly,2035,0.859
792,momentum,5yearly,2035,1
