country,variant,freq,year,totaldeaths
516,estimates,5yearly,1950,58.66
516,estimates,5yearly,1955,56.71
516,estimates,5yearly,1960,55.924
516,estimates,5yearly,1965,56.464
516,estimates,5yearly,1970,59.055
516,estimates,5yearly,1975,57.688
516,estimates,5yearly,1980,58.203
516,estimates,5yearly,1985,59.712
516,estimates,5yearly,1990,65.999
516,estimates,5yearly,1995,87.186
516,estimates,5yearly,2000,117.05
516,estimates,5yearly,2005,119.498
516,estimates,5yearly,2010,95.179
516,constant_fertility,5yearly,2015,91.181
516,constant_mortality,5yearly,2015,107.747
516,high_variant,5yearly,2015,91.134
516,instant_replacement,5yearly,2015,86.028
516,low_variant,5yearly,2015,89.298
516,medium_variant,5yearly,2015,90.216
516,momentum,5yearly,2015,103.042
516,no_change,5yearly,2015,108.89
516,zero_migration,5yearly,2015,90.266
516,constant_fertility,5yearly,2020,97.596
516,constant_mortality,5yearly,2020,121.657
516,high_variant,5yearly,2020,97.299
516,instant_replacement,5yearly,2020,91.957
516,low_variant,5yearly,2020,94.267
516,medium_variant,5yearly,2020,95.783
516,momentum,5yearly,2020,116.723
516,no_change,5yearly,2020,124.193
516,zero_migration,5yearly,2020,95.913
516,constant_fertility,5yearly,2025,103.162
516,constant_mortality,5yearly,2025,137.173
516,high_variant,5yearly,2025,102.544
516,instant_replacement,5yearly,2025,97.549
516,low_variant,5yearly,2025,98.819
516,medium_variant,5yearly,2025,100.683
516,momentum,5yearly,2025,132.555
516,no_change,5yearly,2025,141.248
516,zero_migration,5yearly,2025,100.857
516,constant_fertility,5yearly,2030,109.371
516,constant_mortality,5yearly,2030,153.972
516,high_variant,5yearly,2030,108.167
516,instant_replacement,5yearly,2030,103.327
516,low_variant,5yearly,2030,104.215
516,medium_variant,5yearly,2030,106.186
516,momentum,5yearly,2030,149.364
516,no_change,5yearly,2030,159.857
516,zero_migration,5yearly,2030,106.365
516,constant_fertility,5yearly,2035,116.721
516,constant_mortality,5yearly,2035,171.712
516,high_variant,5yearly,2035,114.931
516,instant_replacement,5yearly,2035,109.428
516,low_variant,5yearly,2035,110.402
516,medium_variant,5yearly,2035,112.632
516,momentum,5yearly,2035,166.244
516,no_change,5yearly,2035,179.939
516,zero_migration,5yearly,2035,112.821
516,constant_fertility,5yearly,2040,125.515
516,constant_mortality,5yearly,2040,190.364
516,high_variant,5yearly,2040,123.121
516,instant_replacement,5yearly,2040,116.435
516,low_variant,5yearly,2040,117.678
516,medium_variant,5yearly,2040,120.313
516,momentum,5yearly,2040,182.986
516,no_change,5yearly,2040,201.778
516,zero_migration,5yearly,2040,120.53
516,constant_fertility,5yearly,2045,135.959
516,constant_mortality,5yearly,2045,209.863
516,high_variant,5yearly,2045,132.858
516,instant_replacement,5yearly,2045,124.955
516,low_variant,5yearly,2045,126.354
516,medium_variant,5yearly,2045,129.455
516,momentum,5yearly,2045,199.419
516,no_change,5yearly,2045,225.738
516,zero_migration,5yearly,2045,129.7
516,constant_fertility,5yearly,2050,148.49
516,constant_mortality,5yearly,2050,229.833
516,high_variant,5yearly,2050,144.587
516,instant_replacement,5yearly,2050,135.641
516,low_variant,5yearly,2050,137.099
516,medium_variant,5yearly,2050,140.633
516,momentum,5yearly,2050,214.921
516,no_change,5yearly,2050,251.94
516,zero_migration,5yearly,2050,140.921
516,constant_fertility,5yearly,2055,163.886
516,constant_mortality,5yearly,2055,249.838
516,high_variant,5yearly,2055,159.1
516,instant_replacement,5yearly,2055,149.07
516,low_variant,5yearly,2055,150.617
516,medium_variant,5yearly,2055,154.6
516,momentum,5yearly,2055,230.24
516,no_change,5yearly,2055,280.227
516,zero_migration,5yearly,2055,154.933
516,constant_fertility,5yearly,2060,181.878
516,constant_mortality,5yearly,2060,269.583
516,high_variant,5yearly,2060,176.065
516,instant_replacement,5yearly,2060,164.614
516,low_variant,5yearly,2060,166.358
516,medium_variant,5yearly,2060,170.901
516,momentum,5yearly,2060,246.147
516,no_change,5yearly,2060,310.38
516,zero_migration,5yearly,2060,171.283
516,constant_fertility,5yearly,2065,203.286
516,constant_mortality,5yearly,2065,288.434
516,high_variant,5yearly,2065,196.0
516,instant_replacement,5yearly,2065,182.106
516,low_variant,5yearly,2065,184.335
516,medium_variant,5yearly,2065,189.779
516,momentum,5yearly,2065,261.309
516,no_change,5yearly,2065,342.065
516,zero_migration,5yearly,2065,190.213
516,constant_fertility,5yearly,2070,226.044
516,constant_mortality,5yearly,2070,305.532
516,high_variant,5yearly,2070,216.966
516,instant_replacement,5yearly,2070,199.605
516,low_variant,5yearly,2070,202.683
516,medium_variant,5yearly,2070,209.336
516,momentum,5yearly,2070,274.36
516,no_change,5yearly,2070,374.862
516,zero_migration,5yearly,2070,209.797
516,constant_fertility,5yearly,2075,248.824
516,constant_mortality,5yearly,2075,320.031
516,high_variant,5yearly,2075,237.581
516,instant_replacement,5yearly,2075,215.365
516,low_variant,5yearly,2075,219.758
516,medium_variant,5yearly,2075,228.058
516,momentum,5yearly,2075,283.687
516,no_change,5yearly,2075,408.56
516,zero_migration,5yearly,2075,228.517
516,constant_fertility,5yearly,2080,271.083
516,constant_mortality,5yearly,2080,331.918
516,high_variant,5yearly,2080,257.137
516,instant_replacement,5yearly,2080,227.988
516,low_variant,5yearly,2080,234.432
516,medium_variant,5yearly,2080,245.031
516,momentum,5yearly,2080,288.942
516,no_change,5yearly,2080,444.035
516,zero_migration,5yearly,2080,245.462
516,constant_fertility,5yearly,2085,293.403
516,constant_mortality,5yearly,2085,342.079
516,high_variant,5yearly,2085,276.007
516,instant_replacement,5yearly,2085,236.538
516,low_variant,5yearly,2085,246.295
516,medium_variant,5yearly,2085,260.239
516,momentum,5yearly,2085,290.822
516,no_change,5yearly,2085,483.124
516,zero_migration,5yearly,2085,260.614
516,constant_fertility,5yearly,2090,318.055
516,constant_mortality,5yearly,2090,350.812
516,high_variant,5yearly,2090,296.158
516,instant_replacement,5yearly,2090,241.681
516,low_variant,5yearly,2090,256.266
516,medium_variant,5yearly,2090,275.114
516,momentum,5yearly,2090,290.13
516,no_change,5yearly,2090,527.099
516,zero_migration,5yearly,2090,275.425
516,constant_fertility,5yearly,2095,346.279
516,constant_mortality,5yearly,2095,357.21
516,high_variant,5yearly,2095,318.362
516,instant_replacement,5yearly,2095,243.217
516,low_variant,5yearly,2095,264.04
516,medium_variant,5yearly,2095,289.861
516,momentum,5yearly,2095,287.651
516,no_change,5yearly,2095,575.734
516,zero_migration,5yearly,2095,290.146
516,constant_fertility,5yearly,Regi,Namibia
516,constant_mortality,5yearly,Regi,Namibia
516,estimates,5yearly,Regi,Namibia
516,high_variant,5yearly,Regi,Namibia
516,instant_replacement,5yearly,Regi,Namibia
516,low_variant,5yearly,Regi,Namibia
516,medium_variant,5yearly,Regi,Namibia
516,momentum,5yearly,Regi,Namibia
516,no_change,5yearly,Regi,Namibia
516,zero_migration,5yearly,Regi,Namibia
