country,variant,freq,year,totaldeaths
450,estimates,5yearly,1950,598.198
450,estimates,5yearly,1955,624.483
450,estimates,5yearly,1960,645.552
450,estimates,5yearly,1965,668.895
450,estimates,5yearly,1970,695.245
450,estimates,5yearly,1975,730.895
450,estimates,5yearly,1980,764.522
450,estimates,5yearly,1985,861.785
450,estimates,5yearly,1990,880.794
450,estimates,5yearly,1995,831.995
450,estimates,5yearly,2000,786.679
450,estimates,5yearly,2005,784.181
450,estimates,5yearly,2010,782.134
450,constant_fertility,5yearly,2015,806.577
450,constant_mortality,5yearly,2015,902.828
450,high_variant,5yearly,2015,805.702
450,instant_replacement,5yearly,2015,725.085
450,low_variant,5yearly,2015,787.028
450,medium_variant,5yearly,2015,796.365
450,momentum,5yearly,2015,817.282
450,no_change,5yearly,2015,915.423
450,zero_migration,5yearly,2015,796.495
450,constant_fertility,5yearly,2020,844.414
450,constant_mortality,5yearly,2020,1041.012
450,high_variant,5yearly,2020,840.136
450,instant_replacement,5yearly,2020,748.135
450,low_variant,5yearly,2020,807.996
450,medium_variant,5yearly,2020,824.065
450,momentum,5yearly,2020,927.16
450,no_change,5yearly,2020,1072.962
450,zero_migration,5yearly,2020,824.415
450,constant_fertility,5yearly,2025,903.595
450,constant_mortality,5yearly,2025,1197.647
450,high_variant,5yearly,2025,894.833
450,instant_replacement,5yearly,2025,803.388
450,low_variant,5yearly,2025,853.66
450,medium_variant,5yearly,2025,874.247
450,momentum,5yearly,2025,1069.711
450,no_change,5yearly,2025,1254.303
450,zero_migration,5yearly,2025,874.809
450,constant_fertility,5yearly,2030,981.79
450,constant_mortality,5yearly,2030,1372.813
450,high_variant,5yearly,2030,965.981
450,instant_replacement,5yearly,2030,876.881
450,low_variant,5yearly,2030,922.244
450,medium_variant,5yearly,2030,944.043
450,momentum,5yearly,2030,1228.32
450,no_change,5yearly,2030,1461.607
450,zero_migration,5yearly,2030,944.811
450,constant_fertility,5yearly,2035,1081.657
450,constant_mortality,5yearly,2035,1566.742
450,high_variant,5yearly,2035,1058.777
450,instant_replacement,5yearly,2035,964.956
450,low_variant,5yearly,2035,1011.16
450,medium_variant,5yearly,2035,1034.671
