country,variant,freq,year,under40mortalityper1000livebirth
340,estimates,5yearly,1950,436.65755
340,estimates,5yearly,1955,399.59753
340,estimates,5yearly,1960,354.56659
340,estimates,5yearly,1965,317.85618
340,estimates,5yearly,1970,282.37185
340,estimates,5yearly,1975,240.0392
340,estimates,5yearly,1980,196.80196
340,estimates,5yearly,1985,155.78023
340,estimates,5yearly,1990,133.81893
340,estimates,5yearly,1995,114.8652
340,estimates,5yearly,2000,105.32557
340,estimates,5yearly,2005,100.91737
340,estimates,5yearly,2010,95.4106699999999
340,medium_variant,5yearly,2015,88.13996
340,medium_variant,5yearly,2020,79.8680100000001
340,medium_variant,5yearly,2025,72.3456
340,medium_variant,5yearly,2030,65.412
340,medium_variant,5yearly,2035,58.99312
340,medium_variant,5yearly,2040,53.21897
340,medium_variant,5yearly,2045,47.8188000000001
340,medium_variant,5yearly,2050,42.87485
340,medium_variant,5yearly,2055,38.37325
340,medium_variant,5yearly,2060,34.1844100000001
340,medium_variant,5yearly,2065,30.50235
340,medium_variant,5yearly,2070,27.22886
340,medium_variant,5yearly,2075,24.27716
340,medium_variant,5yearly,2080,21.73503
340,medium_variant,5yearly,2085,19.5129799999999
340,medium_variant,5yearly,2090,17.5774400000001
340,medium_variant,5yearly,2095,15.83115
340,estimates,5yearly,Regi,Honduras
340,medium_variant,5yearly,Regi,Honduras
