continent,year,variant,freq,age5yearinterval,noofbirthbymother
935,1950,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1950,estimates,5yearly,15_19,32610.676
935,1950,estimates,5yearly,20_24,80333.87
935,1950,estimates,5yearly,25_29,78111.935
935,1950,estimates,5yearly,30_34,58052.393
935,1950,estimates,5yearly,35_39,38471.2
935,1950,estimates,5yearly,40_44,17190.081
935,1950,estimates,5yearly,45_49,3354.928
935,1955,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1955,estimates,5yearly,15_19,31216.09
935,1955,estimates,5yearly,20_24,83841.996
935,1955,estimates,5yearly,25_29,83339.276
935,1955,estimates,5yearly,30_34,60708.679
935,1955,estimates,5yearly,35_39,38607.878
935,1955,estimates,5yearly,40_44,17240.398
935,1955,estimates,5yearly,45_49,3357.741
935,1960,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1960,estimates,5yearly,15_19,33795.821
935,1960,estimates,5yearly,20_24,92887.674
935,1960,estimates,5yearly,25_29,95326.664
935,1960,estimates,5yearly,30_34,70845.404
935,1960,estimates,5yearly,35_39,44732.177
935,1960,estimates,5yearly,40_44,18189.371
935,1960,estimates,5yearly,45_49,3303.937
935,1965,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1965,estimates,5yearly,15_19,38492.171
935,1965,estimates,5yearly,20_24,104257.498
935,1965,estimates,5yearly,25_29,102603.725
935,1965,estimates,5yearly,30_34,75937.813
935,1965,estimates,5yearly,35_39,46225.388
935,1965,estimates,5yearly,40_44,19181.677
935,1965,estimates,5yearly,45_49,3369.278
935,1970,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1970,estimates,5yearly,15_19,39152.785
935,1970,estimates,5yearly,20_24,117855.097
935,1970,estimates,5yearly,25_29,105929.226
935,1970,estimates,5yearly,30_34,68858.203
935,1970,estimates,5yearly,35_39,41305.015
935,1970,estimates,5yearly,40_44,16809.189
935,1970,estimates,5yearly,45_49,3293.774
935,1975,estimates,5yearly,"Region, subregion, country or area *",ASIA
935,1975,estimates,5yearly,15_19,40103.22
935,1975,estimates,5yearly,20_24,122696.559
935,1975,estimates,5yearly,25_29,108556.852
935,1975,estimates,5yearly,30_34,59756.56
935,1975,estimates,5yearly,35_39,30747.707
935,1975,estimates,5yearly,40_44,12913.199
