country,variant,freq,year,under60mortalityper1000livebirth
583,estimates,5yearly,1950,433.51338
583,estimates,5yearly,1955,402.46659
583,estimates,5yearly,1960,371.10164
583,estimates,5yearly,1965,339.45238
583,estimates,5yearly,1970,305.69612
583,estimates,5yearly,1975,271.91614
583,estimates,5yearly,1980,263.00561
583,estimates,5yearly,1985,253.89919
583,estimates,5yearly,1990,244.8343
583,estimates,5yearly,1995,235.69128
583,estimates,5yearly,2000,227.80628
583,estimates,5yearly,2005,215.57012
583,estimates,5yearly,2010,208.21173
583,medium_variant,5yearly,2015,198.47154
583,medium_variant,5yearly,2020,189.29192
583,medium_variant,5yearly,2025,181.05139
583,medium_variant,5yearly,2030,174.23998
583,medium_variant,5yearly,2035,167.57697
583,medium_variant,5yearly,2040,160.58548
583,medium_variant,5yearly,2045,153.52299
583,medium_variant,5yearly,2050,146.37201
583,medium_variant,5yearly,2055,139.98119
583,medium_variant,5yearly,2060,133.66263
583,medium_variant,5yearly,2065,126.95572
583,medium_variant,5yearly,2070,120.15307
583,medium_variant,5yearly,2075,113.67179
583,medium_variant,5yearly,2080,107.16905
583,medium_variant,5yearly,2085,101.07106
583,medium_variant,5yearly,2090,94.97178
583,medium_variant,5yearly,2095,88.8410799999999
