country,variant,freq,year,under60mortalityper1000livebirth
388,estimates,5yearly,1950,360.77088
388,estimates,5yearly,1955,298.97332
388,estimates,5yearly,1960,256.4935
388,estimates,5yearly,1965,229.41755
388,estimates,5yearly,1970,208.21757
388,estimates,5yearly,1975,186.35578
388,estimates,5yearly,1980,178.21346
388,estimates,5yearly,1985,181.38896
388,estimates,5yearly,1990,191.60533
388,estimates,5yearly,1995,197.13442
388,estimates,5yearly,2000,190.33423
388,estimates,5yearly,2005,167.88098
388,estimates,5yearly,2010,154.0084
388,medium_variant,5yearly,2015,146.64959
388,medium_variant,5yearly,2020,137.54089
388,medium_variant,5yearly,2025,128.44858
388,medium_variant,5yearly,2030,119.73341
388,medium_variant,5yearly,2035,111.33745
388,medium_variant,5yearly,2040,103.30291
388,medium_variant,5yearly,2045,95.46378
388,medium_variant,5yearly,2050,87.87022
388,medium_variant,5yearly,2055,80.5507600000001
388,medium_variant,5yearly,2060,73.79326
388,medium_variant,5yearly,2065,67.3344100000001
388,medium_variant,5yearly,2070,61.58527
388,medium_variant,5yearly,2075,56.3419500000001
388,medium_variant,5yearly,2080,51.7381600000001
388,medium_variant,5yearly,2085,47.51177
388,medium_variant,5yearly,2090,43.71416
388,medium_variant,5yearly,2095,40.1885799999999
